episode,reward,length
1,-18.399665,180
2,-16.720998,180
3,-11.854316,180
4,-12.924737,180
5,-16.44156,180
6,-17.201622,180
7,-16.556854,180
8,-25.10631,180
9,-19.508888,180
10,-18.38205,180
11,-37.808919,180
12,-16.202543,180
13,-9.249796,180
14,-52.027499,180
15,-17.030156,180
16,-18.401235,180
17,-5.29707,180
18,-9.177144,180
19,-10.762224,180
20,-6.90475,180
21,-8.596356,180
22,-8.742556,180
23,-11.172117,180
24,-9.304334,180
25,-9.14994,180
26,-7.859676,180
27,-6.792029,180
28,-6.659042,180
29,-5.417351,180
30,-5.298472,180
31,-5.685633,180
32,-6.502059,180
33,-5.484143,180
34,-7.224977,180
35,-6.589548,180
36,-5.186205,180
37,-5.687855,180
38,-5.284595,180
39,-4.811068,180
40,-6.197412,180
41,-4.938237,180
42,-4.739403,180
43,-4.669174,180
44,-5.887312,180
45,-6.488648,180
46,-5.103444,180
47,-7.897402,180
48,-4.86944,180
49,-5.997061,180
50,-6.118696,180
51,-5.66303,180
52,-5.473641,180
53,-6.878967,180
54,-5.000389,180
55,-6.627553,180
56,-5.39537,180
57,-5.111166,180
58,-7.731481,180
59,-5.067423,180
60,-5.97555,180
61,-5.266909,180
62,-5.533804,180
63,-5.705571,180
64,-6.384831,180
65,-7.45375,180
66,-9.588265,180
67,-6.77713,180
68,-8.34528,180
69,-6.065996,180
70,-9.170442,180
71,-8.860545,180
72,-6.748055,180
73,-6.452398,180
74,-6.457066,180
75,-9.146239,180
76,-6.572747,180
77,-8.572487,180
78,-8.141431,180
79,-8.716818,180
80,-8.062686,180
81,-8.045951,180
82,-7.378597,180
83,-4.913263,180
84,-6.056341,180
85,-5.220927,180
86,-8.089806,180
87,-4.960225,180
88,-6.940003,180
89,-5.606049,180
90,-4.398216,180
91,-6.137571,180
92,-4.207074,180
93,-8.613052,180
94,-8.395515,180
95,-7.153154,180
96,-5.184398,180
97,-5.660943,180
98,-5.069434,180
99,-6.662291,180
100,-7.741721,180
101,-5.042205,180
102,-6.5518,180
103,-4.609405,180
104,-5.652055,180
105,-5.759376,180
106,-5.247359,180
107,-6.564542,180
108,-6.092956,180
109,-6.903868,180
110,-6.376039,180
111,-6.31561,180
112,-10.53082,180
113,-9.012179,180
114,-5.895371,180
115,-11.52827,180
116,-12.525426,180
117,-9.099904,180
118,-7.975444,180
119,-8.092973,180
120,-5.929891,180
121,-5.471642,180
122,-4.636696,180
123,-5.59059,180
124,-5.559239,180
125,-6.393179,180
126,-5.511387,180
127,-6.862455,180
128,-5.62769,180
129,-6.932485,180
130,-6.875873,180
131,-5.621817,180
132,-4.466313,180
133,-4.598849,180
134,-6.423453,180
135,-5.758719,180
136,-5.042477,180
137,-4.729465,180
138,-5.488772,180
139,-5.598349,180
140,-5.099555,180
141,-4.844062,180
142,-4.574271,180
143,-5.600599,180
144,-3.826235,180
145,-5.823805,180
146,-3.824057,180
147,-4.458639,180
148,-2.883859,180
149,-3.561658,180
150,-3.250976,180
151,-3.440521,180
152,-3.177109,180
153,-2.998722,180
154,-3.774211,180
155,-3.318098,180
156,-3.735541,180
157,-3.429632,180
158,-3.012315,180
159,-3.094518,180
160,-3.651751,180
161,-3.769199,180
162,-3.095583,180
163,-3.389455,180
164,-3.609319,180
165,-4.825985,180
166,-3.064278,180
167,-3.51121,180
168,-2.645789,180
169,-3.964097,180
170,-3.677176,180
171,-4.004956,180
172,-4.164819,180
173,-3.989065,180
174,-3.87589,180
175,-5.056441,180
176,-6.500569,180
177,-3.466059,180
178,-5.092803,180
179,-4.823041,180
180,-5.688451,180
181,-4.973989,180
182,-3.974261,180
183,-4.618886,180
184,-6.309797,180
185,-7.372459,180
186,-4.108701,180
187,-5.777029,180
188,-8.277057,180
189,-3.757666,180
190,-4.428401,180
191,-5.144,180
192,-4.059279,180
193,-5.04364,180
194,-4.951854,180
195,-4.463163,180
196,-4.321385,180
197,-5.593155,180
198,-6.176612,180
199,-6.417171,180
200,-4.127293,180
201,-4.089363,180
202,-5.524042,180
203,-5.934361,180
204,-8.38867,180
205,-11.446847,180
206,-5.641125,180
207,-4.788641,180
208,-4.132795,180
209,-5.615668,180
210,-6.634463,180
211,-4.221071,180
212,-4.388014,180
213,-4.577171,180
214,-4.53764,180
215,-4.635972,180
216,-3.517026,180
217,-5.905825,180
218,-3.836981,180
219,-3.171589,180
220,-4.3195,180
221,-3.809999,180
222,-6.023158,180
223,-3.631367,180
