episode,reward,length
1,-20.722787,180
2,-41.824603,180
3,-16.754391,180
4,-27.686538,180
5,-27.801171,180
6,-56.879437,180
7,-50.571883,180
8,-30.621295,180
9,-26.481295,180
10,-21.564598,180
11,-26.86654,180
12,-100.423628,180
13,-67.694115,180
14,-38.318348,180
15,-58.815727,180
16,-56.964439,180
17,-26.912802,180
18,-55.369581,180
19,-36.912672,180
20,-46.031264,180
21,-21.709323,180
22,-31.753747,180
23,-22.025625,180
24,-19.003946,180
25,-24.158075,180
26,-26.443915,180
27,-24.721276,180
28,-35.143433,180
29,-28.13407,180
30,-20.393771,180
31,-20.701527,180
32,-15.479648,180
33,-16.797994,180
34,-9.410913,180
35,-13.623219,180
36,-7.275761,180
37,-8.575588,180
38,-11.542713,180
39,-16.902413,180
40,-18.573104,180
41,-16.390937,180
42,-15.255697,180
43,-11.044634,180
44,-12.807242,180
45,-12.92209,180
46,-13.438447,180
47,-14.924975,180
48,-15.854023,180
49,-12.938249,180
50,-16.379344,180
51,-12.091492,180
52,-12.278039,180
53,-16.107116,180
54,-9.62267,180
55,-14.454633,180
56,-13.149749,180
57,-13.588675,180
58,-12.130392,180
59,-14.119597,180
60,-14.411308,180
61,-14.282254,180
62,-13.481533,180
63,-12.159149,180
64,-16.464537,180
65,-11.552899,180
66,-8.035762,180
67,-17.993401,180
68,-14.397263,180
69,-9.603875,180
70,-11.595702,180
71,-15.35638,180
72,-11.225046,180
73,-16.552415,180
74,-12.923647,180
75,-15.506596,180
76,-12.926777,180
77,-16.277215,180
78,-16.283513,180
79,-13.29528,180
80,-15.145312,180
81,-13.845463,180
82,-15.27373,180
83,-17.235331,180
84,-4.896338,180
85,-8.85372,180
86,-7.36884,180
87,-10.890648,180
88,-9.360537,180
89,-11.686777,180
90,-8.501071,180
91,-8.726549,180
92,-10.955615,180
93,-8.206016,180
94,-8.817452,180
95,-7.764773,180
96,-8.652596,180
97,-8.225346,180
98,-9.463643,180
99,-14.972421,180
100,-7.839483,180
101,-6.248231,180
102,-6.074972,180
103,-5.480478,180
104,-4.845846,180
105,-9.671749,180
106,-7.297965,180
107,-5.817866,180
108,-6.002753,180
109,-6.65329,180
110,-6.588771,180
111,-15.441945,180
112,-9.086684,180
113,-7.168848,180
114,-16.598632,180
115,-13.743477,180
116,-8.198498,180
117,-7.059574,180
118,-7.930598,180
119,-24.970039,180
120,-25.953046,180
121,-52.94994,180
122,-61.5084,180
123,-19.471774,180
124,-8.84786,180
125,-18.399883,180
126,-16.132184,180
127,-20.000085,180
128,-13.693729,180
129,-9.864845,180
130,-17.124152,180
131,-40.766335,180
132,-12.155843,180
133,-29.200392,180
134,-34.495976,180
135,-10.697594,180
136,-11.006125,180
137,-10.271456,180
138,-25.403813,180
139,-14.380209,180
140,-13.44376,180
141,-44.412413,180
142,-5.509552,180
143,-19.575228,180
144,-10.731116,180
145,-23.872497,180
146,-11.787702,180
147,-16.058621,180
148,-17.94505,180
149,-3.901513,180
150,-23.086619,180
151,-26.339462,180
152,-17.936099,180
153,-16.994774,180
154,-19.259678,180
155,-24.391151,180
156,-21.578658,180
157,-19.394901,180
158,-16.97203,180
159,-14.547468,180
160,-3.671854,180
161,-5.775497,180
162,-10.511434,180
163,-8.798549,180
164,-16.490204,180
165,-7.613099,180
166,-9.137456,180
167,-9.982826,180
168,-10.572131,180
169,-7.9945,180
170,-6.76106,180
171,-8.901869,180
172,-3.147108,180
173,-8.330129,180
174,-6.003409,180
175,-6.910453,180
176,-9.894416,180
177,-3.243454,180
178,-7.223888,180
179,-9.977241,180
180,-4.080374,180
181,-3.571744,180
182,-4.560232,180
183,-3.654647,180
184,-5.510189,180
185,-4.597944,180
186,-4.113715,180
187,-4.868649,180
188,-7.315933,180
189,-4.977029,180
190,-5.95515,180
191,-4.240646,180
192,-2.930517,180
193,-3.766165,180
194,-3.115216,180
195,-3.491832,180
196,-3.42331,180
197,-3.700553,180
198,-4.442109,180
199,-4.371868,180
200,-3.800691,180
201,-6.666115,180
202,-3.428397,180
203,-4.685379,180
204,-5.979875,180
205,-4.834107,180
206,-5.295875,180
207,-4.74532,180
208,-5.830797,180
209,-5.044873,180
210,-5.051684,180
211,-5.404571,180
212,-3.854378,180
213,-4.83265,180
214,-4.852346,180
215,-3.63348,180
216,-3.826568,180
217,-4.280901,180
218,-4.037772,180
219,-3.903032,180
220,-4.558769,180
221,-2.47531,180
222,-3.917906,180
223,-3.550176,180
224,-3.798224,180
225,-3.448298,180
226,-6.214152,180
227,-3.193413,180
228,-2.79621,180
229,-1.729766,180
230,-2.626698,180
231,-2.46616,180
232,-3.832447,180
233,-3.157584,180
234,-2.074257,180
235,-2.533522,180
236,-3.263388,180
237,-2.841247,180
238,-1.75957,180
239,-2.60357,180
240,-2.840325,180
241,-2.89602,180
242,-2.451289,180
243,-3.163919,180
244,-2.919426,180
245,-2.52747,180
246,-2.753238,180
247,-2.123496,180
248,-3.226386,180
249,-2.444619,180
250,-2.921573,180
251,-3.083516,180
252,-5.962774,180
253,-3.010138,180
254,-4.661761,180
255,-5.453198,180
256,-5.695202,180
257,-3.931468,180
258,-2.298146,180
259,-4.056734,180
260,-2.481795,180
261,-3.128089,180
262,-2.836504,180
263,-2.893217,180
264,-2.357832,180
265,-2.569077,180
266,-5.69241,180
267,-3.205335,180
268,-2.733722,180
269,-2.68575,180
270,-3.203355,180
271,-4.634948,180
272,-3.703917,180
273,-4.344556,180
274,-3.176014,180
275,-3.428348,180
276,-3.152577,180
277,-3.980587,180
278,-2.862142,180
279,-2.912042,180
280,-2.908036,180
281,-3.588771,180
282,-3.172809,180
283,-3.448424,180
284,-3.908559,180
285,-3.191377,180
286,-2.760545,180
287,-3.652854,180
288,-3.563686,180
289,-3.368984,180
290,-3.700911,180
291,-4.065954,180
292,-3.464571,180
293,-3.081337,180
294,-6.373784,180
295,-6.069963,180
296,-6.775409,180
297,-4.451781,180
298,-8.533789,180
299,-8.084551,180
300,-6.544262,180
301,-7.488321,180
302,-5.008229,180
303,-4.314775,180
304,-4.302681,180
305,-6.20893,180
306,-7.116557,180
307,-6.890341,180
308,-4.755694,180
309,-4.038126,180
310,-5.274276,180
311,-5.059474,180
312,-6.773468,180
313,-7.834285,180
314,-5.506897,180
315,-4.969902,180
316,-4.860596,180
317,-5.101436,180
318,-4.103965,180
319,-3.085476,180
320,-3.434462,180
321,-4.05725,180
322,-3.979506,180
323,-4.041704,180
324,-4.094047,180
325,-2.995962,180
326,-4.542742,180
327,-4.310669,180
328,-4.082156,180
329,-3.287682,180
330,-4.023645,180
331,-3.78291,180
332,-3.758212,180
333,-4.811548,180
