episode,reward,length
1,-24.670632744221173,180
2,-31.254459540193434,180
3,-18.83029804933495,180
4,-28.395768836705766,180
5,-53.44487830254639,180
6,-53.366432704584454,180
7,-54.267536879901286,180
8,-37.51199053041603,180
9,-18.989948142172807,180
10,-17.075341099216278,180
11,-31.11577599115926,180
12,-30.976599054438083,180
13,-12.470022414071376,180
14,-14.541329239472866,180
15,-6.524052094859207,180
16,-11.606441464446544,180
17,-10.226637476012174,180
18,-6.968114123840637,180
19,-9.977753132420888,180
20,-10.858307237892381,180
21,-6.340702344491239,180
22,-10.067109686212282,180
23,-10.967642283514811,180
24,-5.228937694718162,180
25,-4.492599533693119,180
26,-8.26590077802936,180
27,-7.126166830121465,180
28,-9.558203474293913,180
29,-7.622258445205499,180
30,-5.858789917348871,180
31,-4.155858166376072,180
32,-7.607234064634527,180
33,-8.256121858454748,180
34,-7.059081584418983,180
35,-5.193974931786332,180
36,-3.771790879346284,180
37,-5.95098621271125,180
38,-5.607088819039679,180
39,-4.820047677860901,180
40,-8.37056098892208,180
41,-7.131077312407461,180
42,-4.917168931109275,180
43,-4.9921440215066815,180
44,-5.529617703086445,180
45,-10.81304196369678,180
46,-8.445075798759731,180
47,-11.162702223118982,180
48,-13.6582832199665,180
49,-8.109411050294554,180
50,-12.42449659703268,180
51,-14.615174962037466,180
52,-5.6110881992614035,180
53,-12.949169046788771,180
54,-14.672240236985031,180
55,-7.541120736061311,180
56,-5.798199169286126,180
57,-15.957947159812353,180
58,-8.06447520575489,180
59,-5.850230883196273,180
60,-10.114481453152859,180
61,-4.957508170840837,180
62,-5.038349038195368,180
63,-7.829048974119842,180
64,-4.353873375459588,180
65,-6.383544687260561,180
66,-4.826478645841844,180
67,-5.486186919647195,180
68,-5.5926608475404915,180
69,-8.919050393077512,180
70,-8.660332917373468,180
71,-8.231578623819145,180
72,-5.8658009590368545,180
73,-4.637812556207525,180
74,-5.478413630918377,180
75,-6.367136872796942,180
76,-4.173896699913181,180
77,-3.4690988577689326,180
78,-5.108042196271138,180
79,-5.244316728782204,180
80,-5.906838477706542,180
81,-5.501219201270011,180
82,-3.6819512458178663,180
83,-4.69690309306988,180
84,-3.7078347944078174,180
85,-4.113078269542695,180
86,-5.248464771081755,180
