episode,reward,length
1,-8.073123,180
2,-11.419757,180
3,-19.831486,180
4,-19.750183,180
5,-17.457321,180
6,-13.166241,180
7,-11.464528,180
8,-20.807685,180
9,-19.801623,180
10,-9.271655,180
11,-22.649542,180
12,-23.158667,180
13,-46.434225,180
14,-22.837427,180
15,-23.443314,180
16,-14.945101,180
17,-14.651556,180
18,-12.431883,180
19,-9.334076,180
20,-5.308343,180
21,-5.591068,180
22,-5.132347,180
23,-6.1285,180
24,-4.499471,180
25,-6.674821,180
26,-6.160008,180
27,-5.586209,180
28,-4.94564,180
29,-4.446242,180
30,-6.398809,180
31,-6.926158,180
32,-4.601957,180
33,-4.946964,180
34,-5.146974,180
35,-4.853981,180
36,-5.495592,180
37,-4.982796,180
38,-7.029681,180
39,-6.368116,180
40,-6.895909,180
41,-5.270843,180
42,-6.25019,180
43,-7.496816,180
44,-7.09046,180
45,-9.268308,180
46,-7.144553,180
47,-8.436191,180
48,-10.145952,180
49,-7.174159,180
50,-8.605069,180
51,-7.832352,180
52,-8.901922,180
53,-7.152891,180
54,-7.822671,180
55,-9.703605,180
56,-7.494804,180
57,-8.154395,180
58,-5.937415,180
59,-5.903444,180
60,-8.185548,180
61,-7.910883,180
62,-5.369766,180
63,-7.829831,180
64,-5.246597,180
65,-7.087343,180
66,-4.791046,180
67,-4.079167,180
68,-5.002739,180
69,-4.626483,180
70,-7.317369,180
71,-7.752223,180
72,-3.652039,180
73,-4.092291,180
74,-6.412519,180
75,-4.220823,180
76,-5.389314,180
77,-4.226523,180
78,-4.504831,180
79,-3.362859,180
80,-4.236583,180
81,-4.92613,180
82,-2.738569,180
83,-4.630697,180
84,-5.560886,180
85,-6.370559,180
86,-4.482316,180
87,-6.168587,180
88,-5.928277,180
89,-5.21566,180
90,-3.269259,180
91,-5.371812,180
92,-3.540757,180
93,-3.6825,180
94,-4.141166,180
95,-3.304585,180
96,-4.446084,180
97,-6.984476,180
98,-9.601145,180
99,-11.517584,180
100,-6.681158,180
101,-5.580319,180
102,-5.723973,180
103,-6.794853,180
104,-6.267615,180
105,-4.856919,180
106,-4.186065,180
107,-5.304657,180
108,-4.17032,180
109,-4.228953,180
110,-5.179198,180
111,-4.831822,180
112,-3.810289,180
113,-4.551052,180
114,-3.858149,180
115,-4.033317,180
116,-4.560641,180
117,-4.374358,180
118,-4.423802,180
119,-5.918735,180
120,-4.805747,180
121,-4.412138,180
122,-5.206026,180
123,-4.82571,180
124,-5.028937,180
125,-5.734174,180
126,-4.977876,180
127,-4.587732,180
128,-5.460436,180
129,-4.340176,180
130,-5.184528,180
131,-4.530078,180
132,-4.492831,180
133,-4.014137,180
134,-4.647894,180
135,-6.077016,180
136,-6.676743,180
137,-5.366543,180
138,-4.838599,180
139,-4.94169,180
140,-7.214767,180
141,-7.334076,180
142,-7.612244,180
143,-9.56256,180
144,-9.614396,180
145,-9.784726,180
146,-9.371671,180
147,-7.189467,180
148,-8.485661,180
149,-8.474173,180
150,-6.660366,180
151,-4.922457,180
152,-5.394681,180
153,-4.086773,180
154,-6.712022,180
155,-5.750659,180
156,-4.044373,180
157,-6.363639,180
158,-6.757343,180
159,-5.832005,180
160,-3.994189,180
161,-4.990162,180
162,-4.196559,180
163,-4.531601,180
164,-3.895317,180
165,-3.839654,180
166,-5.776373,180
167,-4.765008,180
168,-5.387682,180
169,-4.450215,180
170,-4.310648,180
171,-5.021561,180
172,-4.64845,180
173,-6.883335,180
174,-4.773274,180
175,-4.516086,180
176,-4.128041,180
177,-3.467025,180
178,-4.962273,180
179,-5.168751,180
180,-4.347867,180
181,-3.955095,180
182,-5.246608,180
183,-4.25969,180
184,-4.742734,180
185,-4.895027,180
186,-3.881112,180
187,-3.632155,180
188,-3.441187,180
189,-4.665652,180
190,-3.43524,180
191,-3.458526,180
192,-3.349908,180
193,-2.257244,180
194,-2.562119,180
195,-2.503423,180
196,-2.659799,180
197,-2.831514,180
198,-3.07649,180
199,-2.851357,180
200,-2.603025,180
201,-2.532786,180
202,-2.429892,180
203,-3.310862,180
204,-4.161319,180
205,-2.646333,180
206,-3.404695,180
207,-2.754951,180
208,-3.038763,180
209,-3.791259,180
210,-3.146131,180
211,-3.220495,180
212,-2.700139,180
213,-2.710216,180
214,-2.640745,180
215,-2.042156,180
216,-2.114034,180
217,-3.022598,180
218,-3.553629,180
219,-3.963812,180
220,-2.819242,180
221,-2.890195,180
222,-2.606858,180
223,-3.561598,180
224,-3.062684,180
225,-3.986133,180
226,-2.450789,180
227,-2.501794,180
228,-2.769196,180
229,-2.854438,180
230,-2.980333,180
231,-2.772275,180
232,-2.801206,180
233,-2.317962,180
234,-3.730679,180
235,-3.255801,180
236,-3.930563,180
237,-5.734537,180
238,-5.949483,180
239,-7.314954,180
240,-8.259098,180
241,-5.490256,180
242,-4.532116,180
243,-4.391023,180
244,-7.494794,180
245,-15.763694,180
246,-5.1892,180
247,-12.119228,180
248,-7.497543,180
249,-8.052123,180
250,-3.157767,180
251,-4.553268,180
252,-5.800731,180
253,-7.427256,180
254,-5.357952,180
255,-4.503168,180
256,-5.237608,180
257,-5.825619,180
258,-4.368623,180
259,-3.867931,180
260,-5.484985,180
261,-4.93129,180
262,-4.986755,180
263,-5.586232,180
264,-4.605569,180
265,-4.352984,180
266,-4.012459,180
267,-4.704794,180
268,-4.832952,180
269,-6.206433,180
270,-4.803824,180
271,-5.778558,180
272,-5.202094,180
273,-5.213621,180
274,-4.885569,180
275,-4.853335,180
276,-4.393485,180
277,-5.136048,180
278,-5.980697,180
279,-5.313832,180
280,-5.33151,180
281,-4.950384,180
282,-5.194179,180
283,-4.645089,180
284,-6.858028,180
285,-7.28958,180
286,-7.713771,180
287,-7.021031,180
288,-7.8558,180
289,-7.719799,180
290,-5.440892,180
291,-5.746276,180
292,-4.565058,180
293,-4.457579,180
294,-3.61617,180
295,-3.844367,180
296,-3.503383,180
297,-2.961402,180
298,-3.320279,180
299,-2.914927,180
300,-2.701373,180
301,-2.499288,180
302,-2.338331,180
303,-3.294725,180
304,-3.64658,180
305,-2.89804,180
306,-3.276099,180
307,-3.707129,180
308,-2.543584,180
309,-2.860158,180
