episode,reward,length
1,-32.360608,180
2,-15.594473,180
3,-21.896878,180
4,-27.027068,180
5,-38.904368,180
6,-15.266391,180
7,-31.306409,180
8,-27.184473,180
9,-28.69858,180
10,-33.247658,180
11,-22.27804,180
12,-76.466016,180
13,-87.354842,180
14,-471.153618,180
15,-228.889078,180
16,-55.306097,180
17,-96.267873,180
18,-66.75942,180
19,-58.636438,180
20,-104.289944,180
21,-58.673017,180
22,-52.469785,180
23,-57.810003,180
24,-58.781279,180
25,-46.2561,180
26,-49.243564,180
27,-38.10659,180
28,-30.957136,180
29,-51.380684,180
30,-73.980499,180
31,-48.785563,180
32,-52.431147,180
33,-44.674762,180
34,-31.389097,180
35,-56.904124,180
36,-32.817219,180
37,-31.140598,180
38,-48.488217,180
39,-33.255071,180
40,-30.791038,180
41,-27.868824,180
42,-52.484119,180
43,-52.223632,180
44,-41.609974,180
45,-28.036212,180
46,-32.864494,180
47,-26.464606,180
48,-26.324474,180
49,-25.734433,180
50,-31.355435,180
51,-31.545871,180
52,-19.565672,180
53,-20.576377,180
54,-26.973587,180
55,-21.987885,180
56,-21.241276,180
57,-21.334799,180
58,-15.074795,180
59,-23.770188,180
60,-25.605291,180
61,-27.080262,180
62,-17.622998,180
63,-27.051648,180
64,-28.382161,180
65,-18.843278,180
66,-18.990836,180
67,-16.224992,180
68,-15.235896,180
69,-16.359182,180
70,-11.548618,180
71,-15.295018,180
72,-17.963242,180
73,-18.758999,180
74,-14.77767,180
75,-18.451758,180
76,-9.029816,180
77,-13.823591,180
78,-25.393745,180
79,-15.516378,180
80,-23.609446,180
81,-19.727388,180
82,-9.132819,180
83,-20.235559,180
84,-18.655266,180
85,-22.509075,180
86,-15.197644,180
87,-26.877841,180
88,-15.44701,180
89,-17.065386,180
90,-19.073002,180
91,-14.121932,180
92,-12.742902,180
93,-14.189658,180
94,-14.141198,180
95,-15.874105,180
96,-12.800511,180
97,-12.657691,180
98,-17.816198,180
99,-20.008988,180
100,-9.594769,180
101,-15.995555,180
102,-11.60278,180
103,-21.253582,180
104,-14.109801,180
105,-11.377212,180
106,-21.727558,180
107,-20.581119,180
108,-17.686002,180
109,-18.480962,180
110,-18.533779,180
111,-18.043048,180
112,-7.690005,180
113,-24.778734,180
114,-15.274798,180
115,-10.954533,180
116,-15.909567,180
117,-8.97206,180
118,-8.15821,180
119,-8.547279,180
120,-10.812718,180
121,-10.365713,180
122,-11.312318,180
123,-13.166247,180
124,-11.460736,180
125,-10.092855,180
126,-15.869076,180
127,-11.843658,180
128,-10.962461,180
129,-13.545932,180
130,-12.791407,180
131,-15.630625,180
132,-11.505426,180
133,-9.388332,180
134,-25.205221,180
135,-19.5252,180
136,-9.695231,180
137,-10.768475,180
138,-9.329126,180
139,-27.551572,180
140,-11.386176,180
141,-14.639114,180
142,-10.850418,180
143,-12.097474,180
144,-14.133664,180
145,-10.694943,180
146,-10.486524,180
147,-11.277898,180
148,-16.217102,180
149,-7.626744,180
150,-8.003658,180
151,-15.156403,180
152,-10.693084,180
153,-9.371085,180
154,-5.937339,180
155,-10.37667,180
156,-11.273315,180
157,-7.486323,180
158,-6.153546,180
159,-7.134974,180
160,-9.699473,180
161,-10.235872,180
162,-12.034799,180
163,-5.875359,180
164,-7.807433,180
165,-8.49799,180
166,-6.433207,180
167,-6.571853,180
168,-9.091736,180
169,-5.284,180
170,-7.364612,180
171,-6.054499,180
172,-6.057149,180
173,-6.772516,180
174,-7.482682,180
175,-7.104869,180
176,-9.426498,180
177,-9.085631,180
178,-9.239924,180
179,-10.26185,180
180,-10.303422,180
181,-8.588522,180
182,-8.103071,180
183,-8.380733,180
184,-8.249261,180
185,-6.803001,180
186,-14.484004,180
187,-6.962923,180
188,-13.838497,180
189,-14.217691,180
190,-6.8502,180
191,-12.892004,180
192,-13.831413,180
193,-8.39674,180
194,-10.355307,180
195,-8.347637,180
196,-14.528458,180
197,-6.955185,180
198,-11.623717,180
199,-5.468266,180
200,-11.907282,180
201,-13.412532,180
202,-10.378661,180
203,-13.480239,180
204,-8.315589,180
205,-15.123503,180
206,-8.314845,180
207,-6.886123,180
208,-7.518878,180
209,-7.863017,180
210,-5.732053,180
211,-5.93438,180
212,-6.442337,180
213,-6.161036,180
214,-4.084296,180
215,-7.983239,180
216,-7.206391,180
217,-7.366722,180
218,-5.923316,180
219,-4.108865,180
220,-4.22524,180
221,-4.604691,180
222,-5.836316,180
223,-5.931027,180
224,-10.083578,180
225,-5.054627,180
226,-8.125964,180
227,-12.042151,180
228,-3.724825,180
229,-9.668079,180
230,-5.390192,180
231,-8.228221,180
232,-4.166192,180
233,-28.268684,180
234,-6.04877,180
235,-5.314947,180
236,-8.919086,180
237,-4.755329,180
238,-3.574632,180
239,-7.091273,180
240,-3.63912,180
241,-5.256878,180
242,-3.42055,180
243,-5.164714,180
244,-4.271331,180
245,-5.217179,180
246,-4.714183,180
247,-5.735443,180
248,-4.981452,180
249,-4.904162,180
250,-3.613287,180
251,-4.886721,180
252,-4.31435,180
253,-4.393144,180
254,-3.720636,180
255,-3.787285,180
256,-5.496056,180
257,-4.492988,180
258,-4.650968,180
259,-4.627277,180
260,-6.021483,180
261,-4.414429,180
262,-5.716746,180
263,-5.026292,180
264,-5.01748,180
265,-5.252695,180
266,-4.369222,180
267,-5.734456,180
268,-5.675714,180
269,-5.061674,180
270,-4.729157,180
271,-4.961757,180
272,-4.734608,180
273,-6.266634,180
274,-2.955746,180
275,-3.684052,180
276,-5.365635,180
277,-3.29782,180
278,-3.987927,180
279,-3.15234,180
280,-2.717983,180
281,-3.284932,180
282,-4.467954,180
283,-2.913278,180
284,-2.12185,180
285,-2.376552,180
286,-2.516872,180
287,-2.018508,180
288,-2.844893,180
289,-2.440617,180
290,-2.55164,180
291,-2.712336,180
292,-2.426105,180
293,-2.777798,180
294,-5.426973,180
295,-3.394014,180
296,-3.011386,180
297,-3.368166,180
298,-6.07265,180
299,-3.723723,180
300,-3.203186,180
301,-3.524674,180
302,-3.30403,180
303,-2.324009,180
304,-4.281134,180
305,-3.416412,180
306,-5.187869,180
307,-3.615299,180
308,-2.545832,180
309,-4.210529,180
310,-7.567824,180
311,-4.339094,180
