episode,reward,length
1,-16.59663,180
2,-32.87214,180
3,-12.331418,180
4,-14.943775,180
5,-8.663892,180
6,-23.692974,180
7,-11.72744,180
8,-10.61563,180
9,-10.99704,180
10,-18.519,180
11,-15.75289,180
12,-13.199772,180
13,-12.79884,180
14,-25.420049,180
15,-9.210556,180
16,-10.871563,180
17,-10.666292,180
18,-15.555873,180
19,-11.950541,180
20,-16.540518,180
21,-11.021291,180
22,-9.110531,180
23,-11.072251,180
24,-10.639747,180
25,-12.857371,180
26,-8.755687,180
27,-12.845314,180
28,-7.74555,180
29,-15.107709,180
30,-14.220208,180
31,-15.5969,180
32,-10.652607,180
33,-10.298174,180
34,-9.378065,180
35,-7.642017,180
36,-12.46126,180
37,-12.277628,180
38,-20.166394,180
39,-10.956424,180
40,-9.715341,180
41,-8.045189,180
42,-9.999296,180
43,-12.951491,180
44,-15.708189,180
45,-13.183497,180
46,-18.115651,180
47,-13.634393,180
48,-13.03321,180
49,-16.914726,180
50,-9.773376,180
51,-13.745271,180
52,-18.45223,180
53,-11.834716,180
54,-16.150079,180
55,-15.151885,180
56,-13.46555,180
57,-12.258382,180
58,-11.886216,180
59,-8.469328,180
60,-12.311944,180
61,-10.793689,180
62,-12.247083,180
63,-19.660769,180
64,-16.921945,180
65,-20.811673,180
66,-12.842177,180
67,-11.115136,180
68,-22.575527,180
69,-9.198518,180
70,-19.525243,180
71,-9.392934,180
72,-12.631949,180
73,-12.827142,180
74,-16.747888,180
75,-13.87269,180
76,-18.380046,180
77,-15.122397,180
78,-16.129733,180
79,-9.05476,180
80,-17.118364,180
81,-11.215891,180
82,-12.731632,180
83,-8.016649,180
84,-12.330126,180
85,-10.293969,180
86,-13.172274,180
87,-8.087417,180
88,-12.956298,180
89,-12.833952,180
90,-12.708287,180
91,-10.430081,180
92,-13.772007,180
93,-12.227084,180
94,-13.988217,180
95,-7.438285,180
96,-9.402328,180
97,-9.057213,180
98,-14.491319,180
99,-8.837461,180
100,-13.5131,180
101,-9.430077,180
102,-13.581172,180
103,-12.486122,180
104,-13.406551,180
105,-9.903878,180
106,-13.012262,180
107,-18.985329,180
108,-10.991498,180
109,-8.198455,180
110,-13.586774,180
111,-7.587836,180
112,-9.114012,180
113,-12.820751,180
114,-8.198726,180
115,-8.94135,180
116,-10.602736,180
117,-10.586807,180
118,-7.848011,180
119,-7.271745,180
120,-15.437083,180
121,-9.207411,180
122,-11.257384,180
123,-7.341548,180
124,-16.486494,180
125,-9.799373,180
126,-11.432128,180
127,-14.262994,180
128,-12.363232,180
129,-12.349351,180
130,-8.962096,180
131,-9.515538,180
132,-4.985846,180
133,-11.330937,180
134,-8.367011,180
135,-14.618066,180
136,-8.19635,180
137,-10.011818,180
138,-9.954217,180
139,-6.87805,180
140,-7.741195,180
141,-5.738308,180
142,-8.550611,180
143,-8.372821,180
144,-11.706408,180
145,-4.639143,180
146,-9.235535,180
147,-8.421689,180
148,-15.488284,180
149,-7.645806,180
150,-14.81819,180
151,-7.746512,180
152,-9.413583,180
153,-9.785184,180
154,-8.269689,180
155,-9.231792,180
156,-7.899992,180
157,-6.640454,180
158,-8.394543,180
159,-6.408611,180
160,-8.29223,180
161,-7.200019,180
162,-9.008035,180
163,-8.950347,180
