episode,reward,length
1,-8.010561,180
2,-11.282096,180
3,-19.466797,180
4,-20.435455,180
5,-16.876528,180
6,-12.931761,180
7,-12.041028,180
8,-25.222079,180
9,-21.491213,180
10,-14.378332,180
11,-8.448166,180
12,-10.273799,180
13,-24.03564,180
14,-26.515607,180
15,-15.677056,180
16,-20.544711,180
17,-26.287717,180
18,-18.325607,180
19,-17.648676,180
20,-19.327529,180
21,-15.657888,180
22,-21.939756,180
23,-11.316161,180
24,-19.350058,180
25,-21.159195,180
26,-21.826261,180
27,-14.012839,180
28,-13.473433,180
29,-14.173498,180
30,-16.849152,180
31,-22.600895,180
32,-15.534645,180
33,-29.200277,180
34,-16.285339,180
35,-17.328116,180
36,-14.556059,180
37,-12.633575,180
38,-15.360846,180
39,-12.306602,180
40,-26.800248,180
41,-13.728019,180
42,-13.764206,180
43,-22.240629,180
44,-16.474189,180
45,-20.510644,180
46,-9.497396,180
47,-26.122496,180
48,-12.44919,180
49,-19.315726,180
50,-26.385689,180
51,-16.182298,180
52,-18.130592,180
53,-10.570002,180
54,-15.752283,180
55,-11.949885,180
56,-18.216357,180
57,-13.823293,180
58,-15.990271,180
59,-12.589671,180
60,-20.496637,180
61,-25.50014,180
62,-17.373953,180
63,-14.544556,180
64,-21.725711,180
65,-32.352537,180
66,-17.447734,180
67,-16.796066,180
68,-14.287707,180
69,-21.208863,180
70,-22.031945,180
71,-26.692374,180
72,-17.178936,180
73,-16.656611,180
74,-31.959266,180
75,-9.894766,180
76,-18.700063,180
77,-12.931293,180
78,-11.538297,180
79,-17.185497,180
80,-15.498206,180
81,-35.460457,180
82,-28.803643,180
83,-21.575204,180
84,-16.239727,180
85,-21.765308,180
86,-21.802809,180
87,-20.480888,180
88,-15.356351,180
89,-24.253845,180
90,-13.716727,180
91,-22.214602,180
92,-11.836527,180
93,-11.525174,180
94,-13.567798,180
95,-12.339918,180
96,-18.94652,180
97,-27.941684,180
98,-18.715795,180
99,-28.955315,180
100,-19.253341,180
101,-12.470259,180
102,-14.650013,180
103,-15.805338,180
104,-11.926836,180
105,-23.157667,180
106,-22.891613,180
107,-18.625284,180
108,-19.234768,180
109,-13.474196,180
110,-32.609041,180
111,-12.01604,180
112,-13.982913,180
113,-17.652286,180
114,-12.78867,180
115,-17.15574,180
116,-24.636395,180
117,-17.145963,180
118,-23.57989,180
119,-19.930324,180
120,-21.016138,180
121,-13.446765,180
122,-15.050566,180
123,-19.97814,180
124,-19.172867,180
125,-14.229099,180
126,-18.627315,180
127,-10.227174,180
128,-13.974549,180
129,-10.831114,180
130,-8.566798,180
131,-11.872762,180
132,-28.17379,180
133,-19.209738,180
134,-20.835864,180
135,-22.92962,180
136,-27.706897,180
137,-19.050662,180
138,-8.840659,180
139,-11.956019,180
140,-18.271029,180
141,-22.022876,180
142,-15.617082,180
143,-20.549578,180
144,-12.296651,180
145,-28.488965,180
146,-16.734674,180
147,-20.235836,180
148,-14.420881,180
149,-15.328935,180
150,-15.573862,180
151,-24.207428,180
152,-20.707685,180
153,-12.177391,180
154,-17.988082,180
155,-15.509169,180
156,-11.410011,180
157,-19.869816,180
158,-18.412099,180
159,-18.273605,180
160,-11.26298,180
161,-17.505849,180
162,-21.354169,180
163,-7.726915,180
164,-13.096932,180
165,-10.428238,180
166,-22.389446,180
167,-17.904729,180
168,-15.247832,180
169,-15.047491,180
170,-11.779686,180
171,-21.353256,180
172,-19.33367,180
173,-31.001787,180
174,-14.652286,180
175,-18.473898,180
176,-14.699617,180
177,-12.530844,180
178,-13.936584,180
179,-10.301675,180
180,-16.266619,180
181,-11.690981,180
182,-20.747431,180
183,-7.347861,180
184,-9.277384,180
185,-24.49637,180
186,-12.175894,180
187,-19.031115,180
188,-12.735069,180
189,-23.788269,180
190,-7.513664,180
191,-13.157228,180
192,-13.703414,180
193,-13.28296,180
194,-12.67911,180
195,-10.281212,180
196,-18.885625,180
197,-13.555704,180
198,-15.614873,180
199,-21.052915,180
200,-15.869653,180
201,-11.668915,180
202,-8.89875,180
203,-10.671497,180
204,-17.619799,180
205,-8.330229,180
206,-15.564308,180
207,-14.800741,180
208,-16.57817,180
209,-11.650549,180
210,-10.097533,180
211,-9.094227,180
212,-8.986772,180
213,-10.29242,180
214,-6.020096,180
215,-8.937424,180
216,-6.928212,180
217,-7.932444,180
218,-16.501968,180
219,-10.568734,180
220,-13.564699,180
221,-16.991906,180
222,-7.671308,180
223,-11.056359,180
224,-14.711645,180
225,-10.671205,180
226,-5.924639,180
227,-8.846245,180
228,-6.761472,180
229,-8.084078,180
230,-8.070814,180
231,-14.763508,180
232,-8.247413,180
233,-12.985875,180
234,-7.99062,180
235,-6.324194,180
236,-7.350242,180
237,-7.933948,180
238,-5.774097,180
239,-12.112722,180
240,-8.254863,180
241,-7.398513,180
242,-6.126796,180
243,-10.466081,180
244,-4.17975,180
245,-12.383846,180
246,-8.477893,180
247,-14.268012,180
248,-6.631732,180
249,-10.457406,180
250,-5.03718,180
251,-7.409741,180
252,-9.716053,180
253,-11.681377,180
254,-7.922153,180
255,-8.555503,180
256,-10.597835,180
257,-11.668742,180
258,-7.510592,180
259,-8.53811,180
260,-8.266464,180
261,-12.479327,180
262,-10.584562,180
263,-9.342212,180
264,-11.545925,180
265,-8.111225,180
266,-9.507574,180
267,-10.184796,180
268,-13.602141,180
269,-11.000054,180
270,-13.364182,180
271,-12.969574,180
272,-11.685842,180
273,-11.42264,180
274,-9.888694,180
275,-12.150103,180
276,-12.399732,180
277,-6.809923,180
278,-14.405523,180
279,-12.642842,180
280,-15.729456,180
281,-12.840437,180
282,-13.749222,180
283,-6.391377,180
284,-17.987223,180
285,-22.801261,180
286,-17.321089,180
287,-17.438346,180
288,-18.314315,180
289,-22.321261,180
