episode,reward,length
1,-16.069484,180
2,-33.871299,180
3,-12.079977,180
4,-13.915116,180
5,-11.494913,180
6,-14.584218,180
7,-7.337935,180
8,-15.166098,180
9,-41.96306,180
10,-32.768534,180
11,-14.829565,180
12,-8.272421,180
13,-10.738705,180
14,-8.848164,180
15,-20.807818,180
16,-28.51432,180
17,-12.916409,180
18,-14.749471,180
19,-24.280602,180
20,-18.508614,180
21,-7.135414,180
22,-6.798625,180
23,-6.0146,180
24,-4.82083,180
25,-6.943885,180
26,-4.680543,180
27,-5.875302,180
28,-4.597325,180
29,-4.741268,180
30,-4.377688,180
31,-4.324782,180
32,-4.088305,180
33,-4.892715,180
34,-5.398312,180
35,-3.534822,180
36,-4.183415,180
37,-4.170488,180
38,-4.056226,180
39,-3.890466,180
40,-3.955787,180
41,-4.386538,180
42,-3.865465,180
43,-4.386328,180
44,-4.993153,180
45,-4.107365,180
46,-5.307559,180
47,-4.129735,180
48,-3.601059,180
49,-4.915685,180
50,-3.315927,180
51,-3.74649,180
52,-3.797176,180
53,-3.422173,180
54,-4.488961,180
55,-4.505859,180
56,-4.600775,180
57,-4.537835,180
58,-4.137888,180
59,-3.71103,180
60,-4.704221,180
61,-4.342134,180
62,-4.031461,180
63,-4.161267,180
64,-3.696544,180
65,-5.188226,180
66,-4.794269,180
67,-3.938307,180
68,-3.953693,180
69,-4.305236,180
70,-5.246454,180
71,-4.460271,180
72,-4.716701,180
73,-4.108141,180
74,-3.964484,180
75,-4.701312,180
76,-4.448903,180
77,-4.016057,180
78,-4.501969,180
79,-4.853262,180
80,-4.697846,180
81,-4.900428,180
82,-4.392683,180
83,-4.599356,180
84,-4.625672,180
85,-3.988338,180
86,-4.16648,180
87,-3.43145,180
88,-4.065709,180
89,-3.822655,180
90,-4.70672,180
91,-3.620198,180
92,-5.100809,180
93,-4.503698,180
94,-4.461803,180
95,-4.586536,180
96,-3.521053,180
97,-3.129033,180
98,-4.077603,180
99,-4.539719,180
100,-4.875964,180
101,-3.874098,180
102,-3.562483,180
103,-4.078749,180
104,-5.305334,180
105,-4.786647,180
106,-3.44157,180
107,-5.485293,180
108,-5.340741,180
109,-6.977565,180
110,-3.929397,180
111,-4.055403,180
112,-4.563661,180
113,-4.228465,180
114,-4.474866,180
115,-5.210894,180
116,-4.518495,180
117,-4.528787,180
118,-5.976601,180
119,-5.449643,180
120,-5.429652,180
121,-4.78068,180
122,-5.32853,180
123,-4.733733,180
124,-5.042128,180
125,-3.891678,180
126,-4.348381,180
127,-4.342091,180
128,-4.645579,180
129,-4.595266,180
130,-4.328456,180
131,-5.788498,180
132,-4.39053,180
133,-4.909236,180
134,-3.379852,180
135,-4.650281,180
136,-4.34608,180
137,-4.566147,180
138,-5.120317,180
139,-3.916799,180
140,-3.701092,180
141,-4.067275,180
142,-3.935573,180
143,-4.14879,180
144,-4.973709,180
145,-4.938302,180
146,-4.947599,180
147,-3.511557,180
148,-4.62414,180
149,-4.515044,180
150,-4.705398,180
151,-4.200754,180
152,-5.643122,180
153,-4.473543,180
154,-5.687849,180
155,-4.6153,180
156,-5.85429,180
157,-5.18961,180
158,-5.104394,180
159,-5.860199,180
160,-5.440337,180
161,-5.74729,180
162,-5.897813,180
163,-6.422126,180
164,-6.876768,180
165,-5.884972,180
166,-5.797681,180
167,-4.11496,180
168,-5.409162,180
169,-5.669305,180
170,-7.592176,180
171,-5.963299,180
172,-5.617324,180
173,-6.643281,180
174,-6.247937,180
175,-7.084612,180
176,-5.244977,180
177,-5.339238,180
178,-5.506217,180
179,-5.97634,180
180,-5.954647,180
181,-7.21957,180
182,-7.797308,180
183,-6.959813,180
184,-6.195947,180
185,-5.043138,180
186,-5.666551,180
187,-5.548131,180
188,-5.512,180
189,-4.899364,180
190,-4.721034,180
191,-5.939157,180
192,-4.09852,180
193,-4.681863,180
194,-5.523514,180
195,-5.353562,180
196,-6.134679,180
197,-4.658536,180
198,-5.125417,180
199,-6.189999,180
200,-6.846356,180
201,-5.906996,180
202,-6.88356,180
203,-6.048415,180
204,-7.448438,180
205,-5.517569,180
206,-5.813984,180
207,-4.740487,180
208,-5.746321,180
209,-7.42367,180
210,-6.370695,180
211,-5.708248,180
