episode,reward,length
1,-31.343116,120
2,-35.30209,120
3,-34.119879,120
4,-26.520411,120
5,-30.182022,120
6,-26.782844,120
7,-27.004538,120
8,-28.306589,120
9,-29.526886,120
10,-28.560242,120
11,-26.225128,120
12,-28.424247,120
13,-27.671585,120
14,-26.61025,120
15,-28.20181,120
16,-27.796245,120
17,-21.453618,120
18,-25.429133,120
19,-17.387102,120
20,-18.44482,120
21,-22.116679,120
22,-25.942832,120
23,-28.531199,120
24,-18.735742,120
25,-26.572578,120
26,-23.183937,120
27,-18.363112,120
28,-17.311983,120
29,-18.284711,120
30,-22.798086,120
31,-23.950057,120
32,-18.812575,120
33,-20.075264,120
34,-16.82893,120
35,-16.454231,120
36,-18.621331,120
37,-19.286096,120
38,-20.087514,120
39,-19.985865,120
40,-18.693435,120
41,-12.565766,120
42,-16.369358,120
43,-21.53991,120
44,-13.939391,120
45,-18.24081,120
46,-13.542232,120
47,-12.742815,120
48,-18.156718,120
49,-14.682133,120
50,-23.222794,120
51,-13.758795,120
52,-12.538408,120
53,-14.90933,120
54,-11.411291,120
55,-12.070839,120
56,-14.086161,120
57,-13.803223,120
58,-13.353259,120
59,-14.937686,120
60,-12.392208,120
61,-13.73256,120
62,-13.168355,120
63,-14.026991,120
64,-17.903641,120
65,-14.35039,120
66,-16.224707,120
67,-20.264141,120
68,-13.854279,120
69,-13.589123,120
70,-13.72094,120
71,-15.796523,120
72,-12.794705,120
73,-16.828249,120
74,-10.963252,120
75,-11.477108,120
76,-13.264705,120
77,-12.267191,120
78,-12.18011,120
79,-9.500175,120
80,-10.013057,120
81,-9.991134,120
82,-10.541238,120
83,-11.320438,120
84,-10.605108,120
85,-11.644665,120
86,-16.351357,120
87,-14.996812,120
88,-13.672666,120
89,-10.941196,120
90,-9.376489,120
91,-16.840673,120
92,-16.512594,120
93,-12.163124,120
94,-13.622844,120
95,-8.931673,120
96,-9.143579,120
97,-11.638914,120
98,-11.33956,120
99,-13.873492,120
100,-9.236684,120
101,-12.060934,120
102,-10.579284,120
103,-7.520462,120
104,-8.888362,120
105,-8.319198,120
106,-9.131362,120
107,-9.990171,120
108,-9.789127,120
109,-10.787706,120
110,-12.879818,120
111,-13.264531,120
112,-10.922929,120
113,-11.813903,120
114,-10.399114,120
115,-14.08377,120
116,-7.588496,120
117,-10.400253,120
118,-10.636703,120
119,-8.598872,120
120,-8.952234,120
121,-10.566342,120
122,-11.34645,120
123,-8.966959,120
124,-10.75551,120
125,-10.614818,120
126,-8.372191,120
127,-8.583059,120
128,-9.288981,120
129,-8.920722,120
130,-8.286424,120
131,-10.127581,120
132,-11.223753,120
133,-7.594951,120
134,-11.078338,120
135,-7.249793,120
136,-10.1666,120
137,-11.976316,120
138,-11.375313,120
139,-7.098373,120
