episode,reward,length
1,-565.108195,120
2,-945.583089,120
3,-830.565971,120
4,-1003.40488,120
5,-57.32118,120
6,-980.109065,120
7,-1840.586819,120
8,-52.522444,120
9,-606.00358,120
10,-83.160283,120
11,-145.244935,120
12,-918.28007,120
13,-357.070692,120
14,-852.221667,120
15,-865.285117,120
16,-1377.552077,120
17,-123.706323,120
18,-304.380775,120
19,-785.558477,120
20,-72.724495,120
21,-1600.190647,120
22,-81.474214,120
23,-84.658003,120
24,-533.807884,120
25,-353.414517,120
26,-969.116025,120
27,-77.112386,120
28,-295.153599,120
29,-69.460959,120
30,-1308.450104,120
31,-155.51834,120
32,-35.842988,120
33,-339.242223,120
34,-74.663857,120
35,-99.671376,120
36,-558.349645,120
37,-203.50085,120
38,-223.302831,120
39,-213.421873,120
40,-140.405216,120
41,-285.367445,120
42,-88.81168,120
43,-43.226575,120
44,-963.536434,120
45,-38.248999,120
46,-79.196711,120
47,-62.468901,120
48,-408.892546,120
49,-280.831751,120
50,-71.566787,120
51,-34.597505,120
52,-202.954018,120
53,-224.954827,120
54,-350.039382,120
55,-57.375458,120
56,-73.611681,120
57,-151.352606,120
58,-309.390261,120
59,-45.822641,120
60,-703.713646,120
61,-55.360691,120
62,-153.293143,120
63,-358.561443,120
64,-36.761689,120
65,-302.808948,120
66,-136.519316,120
67,-23.857198,120
68,-155.542822,120
69,-135.070169,120
70,-33.085902,120
71,-130.106094,120
72,-33.386222,120
73,-30.071143,120
74,-32.533059,120
75,-28.212053,120
76,-47.520887,120
77,-33.859347,120
78,-32.591879,120
79,-137.331942,120
80,-33.73708,120
81,-31.93001,120
82,-33.261694,120
83,-33.576468,120
84,-33.297825,120
85,-40.084518,120
