episode,reward,length
1,-19.988412,180
2,-20.421699,180
3,-10.59592,180
4,-17.154065,180
5,-17.915584,180
6,-15.085022,180
7,-8.867516,180
8,-14.747295,180
9,-14.715575,180
10,-17.982076,180
11,-17.630401,180
12,-15.361474,180
13,-11.525878,180
14,-8.357339,180
15,-16.010732,180
16,-21.363094,180
17,-10.312428,180
18,-12.536243,180
19,-16.628242,180
20,-10.751859,180
21,-17.714714,180
22,-13.666017,180
23,-12.595729,180
24,-14.624134,180
25,-17.309145,180
26,-21.17226,180
27,-12.926708,180
28,-16.313631,180
29,-10.336318,180
30,-7.299046,180
31,-12.326035,180
32,-13.202825,180
33,-24.434916,180
34,-9.179827,180
35,-13.415234,180
36,-10.255342,180
37,-11.098391,180
38,-9.151089,180
39,-14.671933,180
40,-14.632118,180
41,-10.460664,180
42,-21.622003,180
43,-15.054685,180
44,-31.044486,180
45,-8.898459,180
46,-12.968927,180
47,-12.579353,180
48,-10.320186,180
49,-10.644778,180
50,-9.573364,180
51,-12.373853,180
52,-8.838397,180
53,-13.107548,180
54,-9.567469,180
55,-9.726787,180
56,-8.276,180
57,-8.53146,180
58,-12.675263,180
59,-11.754526,180
60,-10.694176,180
61,-9.09052,180
62,-6.255651,180
63,-17.677547,180
64,-11.152692,180
65,-17.665502,180
66,-12.139078,180
67,-11.853359,180
68,-8.47594,180
69,-12.628582,180
70,-8.498672,180
71,-9.830707,180
72,-11.725842,180
73,-17.160132,180
74,-10.989423,180
75,-13.452716,180
76,-8.752458,180
77,-10.842066,180
78,-12.263474,180
79,-11.733995,180
80,-14.5942,180
81,-11.209539,180
82,-10.062475,180
83,-7.389332,180
84,-11.775923,180
85,-10.911787,180
86,-10.228367,180
87,-8.423129,180
88,-6.419926,180
89,-10.276635,180
90,-18.252618,180
91,-14.256324,180
92,-18.808579,180
93,-9.08669,180
94,-11.216332,180
95,-9.419235,180
96,-11.725296,180
97,-10.602203,180
98,-8.491348,180
99,-9.116228,180
100,-11.705431,180
101,-10.861716,180
102,-11.152548,180
103,-8.095546,180
104,-8.583552,180
105,-13.649065,180
106,-13.710821,180
107,-7.466701,180
108,-14.068253,180
109,-14.268442,180
110,-8.869917,180
111,-14.887118,180
112,-8.721239,180
113,-10.631621,180
114,-11.819343,180
115,-9.843058,180
116,-10.09876,180
117,-10.888511,180
118,-14.544294,180
119,-12.635886,180
120,-8.836616,180
121,-12.473197,180
122,-11.164975,180
123,-11.26764,180
124,-9.819038,180
125,-6.885792,180
126,-8.686797,180
127,-10.053144,180
128,-12.388224,180
129,-6.51081,180
130,-11.475536,180
131,-12.699325,180
132,-10.383308,180
133,-14.176513,180
134,-10.44623,180
135,-8.505555,180
136,-14.425026,180
137,-8.619716,180
138,-8.378867,180
139,-8.076643,180
140,-7.957776,180
141,-7.199736,180
142,-7.63378,180
143,-7.355157,180
144,-10.067039,180
145,-10.870218,180
146,-5.498424,180
147,-7.200685,180
148,-7.346269,180
149,-6.955104,180
150,-8.466056,180
151,-8.332548,180
152,-7.566766,180
153,-7.969002,180
154,-8.586308,180
155,-7.321499,180
156,-10.909209,180
157,-7.123176,180
158,-7.84739,180
159,-10.620355,180
160,-8.269965,180
161,-11.19775,180
162,-9.743369,180
163,-5.176712,180
164,-8.442701,180
165,-10.561333,180
166,-10.112977,180
167,-7.27817,180
168,-8.53579,180
169,-7.235219,180
170,-7.209004,180
171,-6.766346,180
172,-7.697919,180
173,-6.746795,180
174,-9.175771,180
175,-7.454893,180
176,-7.942862,180
177,-8.305107,180
178,-5.222064,180
179,-9.186346,180
180,-8.40819,180
181,-5.603846,180
182,-7.286076,180
183,-7.418025,180
184,-6.69481,180
185,-7.416008,180
186,-6.964915,180
187,-7.765253,180
188,-8.68251,180
189,-6.65379,180
190,-6.509061,180
191,-6.784713,180
192,-8.981057,180
193,-9.552587,180
194,-7.160989,180
195,-6.65119,180
196,-8.084172,180
197,-6.629374,180
198,-8.103028,180
199,-7.871061,180
200,-5.804499,180
201,-8.743885,180
202,-8.170475,180
203,-6.112393,180
204,-8.398682,180
205,-8.300045,180
206,-5.990233,180
207,-6.366529,180
208,-7.687639,180
209,-6.971925,180
210,-5.325604,180
211,-5.560444,180
212,-7.686434,180
213,-8.434031,180
214,-5.483423,180
215,-6.807722,180
216,-6.988053,180
217,-6.841742,180
218,-6.554857,180
219,-6.685548,180
220,-5.84984,180
221,-5.035187,180
222,-8.345429,180
223,-4.698368,180
224,-6.567343,180
225,-5.586086,180
226,-6.809637,180
227,-6.403749,180
228,-6.878104,180
229,-7.433343,180
230,-9.853415,180
231,-8.344556,180
232,-9.244474,180
233,-5.79859,180
234,-7.960675,180
235,-7.387608,180
236,-6.684657,180
237,-7.25901,180
238,-6.170936,180
239,-8.188115,180
240,-6.042248,180
241,-5.579329,180
242,-6.838136,180
243,-6.249584,180
244,-6.356176,180
245,-6.070203,180
246,-6.043074,180
247,-5.822288,180
248,-7.607667,180
249,-6.389717,180
250,-6.548693,180
251,-6.473001,180
252,-7.879339,180
253,-6.595847,180
254,-5.56118,180
255,-9.862805,180
256,-6.302232,180
257,-7.352546,180
258,-6.381313,180
259,-6.551981,180
260,-6.063145,180
261,-7.086478,180
262,-9.662293,180
263,-7.556329,180
264,-7.645962,180
265,-5.819058,180
266,-6.210418,180
267,-6.269286,180
268,-5.37495,180
269,-6.898037,180
270,-6.437371,180
271,-6.627859,180
272,-6.22247,180
273,-6.873249,180
274,-6.951952,180
275,-7.722155,180
276,-5.90712,180
277,-6.509948,180
278,-8.853132,180
279,-5.149192,180
280,-6.195582,180
281,-5.988137,180
282,-6.717089,180
283,-8.294381,180
284,-6.92607,180
285,-5.885592,180
286,-8.136667,180
287,-7.509774,180
288,-8.000408,180
289,-8.115211,180
290,-6.457566,180
291,-5.45767,180
292,-7.412636,180
293,-8.331925,180
294,-7.545616,180
295,-8.281564,180
296,-7.542931,180
297,-6.469334,180
298,-9.674121,180
299,-5.930711,180
300,-6.784412,180
301,-5.057081,180
302,-5.188671,180
303,-6.537862,180
304,-4.611047,180
305,-6.848962,180
306,-7.070918,180
307,-5.929427,180
308,-5.558914,180
309,-7.801275,180
310,-6.750874,180
311,-6.36461,180
312,-6.472191,180
313,-7.494593,180
314,-4.238343,180
315,-5.782274,180
316,-4.69374,180
317,-5.987857,180
318,-7.480944,180
319,-6.463058,180
320,-6.551683,180
321,-6.083617,180
322,-8.25236,180
323,-5.621341,180
324,-5.071663,180
325,-5.176577,180
326,-6.351804,180
327,-6.758432,180
328,-7.157627,180
329,-5.525699,180
330,-6.055514,180
331,-6.247506,180
332,-6.939437,180
333,-5.195798,180
334,-5.985387,180
335,-6.196662,180
336,-6.764331,180
337,-5.452239,180
338,-7.270052,180
339,-4.976665,180
340,-6.608534,180
341,-7.141595,180
342,-5.948788,180
343,-5.922833,180
