episode,reward,length
1,-19.988412,180
2,-20.421699,180
3,-10.59592,180
4,-17.154065,180
5,-17.915584,180
6,-15.085022,180
7,-8.867516,180
8,-14.747295,180
9,-14.715575,180
10,-17.982076,180
11,-17.630401,180
12,-15.361474,180
13,-11.525878,180
14,-8.357339,180
15,-16.010732,180
16,-21.363094,180
17,-10.312428,180
18,-12.536243,180
19,-16.628242,180
20,-10.751859,180
21,-17.714714,180
22,-13.666017,180
23,-12.595729,180
24,-14.624134,180
25,-17.309145,180
26,-21.17226,180
27,-12.926708,180
28,-16.313631,180
29,-10.336318,180
30,-7.299046,180
31,-12.326035,180
32,-13.202825,180
33,-24.434916,180
34,-9.179827,180
35,-13.415234,180
36,-10.255342,180
37,-11.098391,180
38,-9.151089,180
39,-14.671933,180
40,-14.632118,180
41,-10.460664,180
42,-21.622003,180
43,-15.054685,180
44,-31.044486,180
45,-8.898459,180
46,-12.968927,180
47,-12.579353,180
48,-10.320186,180
49,-10.644778,180
50,-9.573364,180
51,-12.373853,180
52,-8.838397,180
53,-13.107548,180
54,-9.567469,180
55,-9.726787,180
56,-8.276,180
