episode,reward,length
1,-741.849147,180
2,-742.58271,180
3,-663.515508,180
4,-663.762251,180
5,-674.978915,180
6,-703.293417,180
7,-635.822068,180
8,-686.294892,180
9,-686.115225,180
10,-730.365252,180
11,-723.633272,180
12,-671.265536,180
13,-614.57312,180
14,-632.75747,180
15,-715.242462,180
16,-751.711461,180
17,-648.542128,180
18,-626.653472,180
19,-666.598031,180
20,-656.525243,180
21,-738.146431,180
22,-631.321327,180
23,-614.208275,180
24,-698.376661,180
25,-735.035056,180
26,-707.035079,180
27,-588.680233,180
28,-687.078004,180
29,-611.423362,180
30,-610.835534,180
31,-618.180133,180
32,-665.048133,180
33,-769.853683,180
34,-621.083449,180
35,-668.935008,180
36,-675.729802,180
37,-660.812274,180
38,-602.165361,180
39,-670.651449,180
40,-635.548441,180
41,-542.850211,180
42,-681.351841,180
43,-623.333616,180
44,-455.399756,180
45,-655.444606,180
46,-603.211133,180
47,-626.263108,180
48,-562.206814,180
49,-545.739841,180
50,-580.414988,180
51,-581.948509,180
52,-465.625299,180
53,-595.791883,180
54,-541.047392,180
55,-530.886283,180
56,-548.717401,180
57,-514.024843,180
58,-534.109718,180
59,-484.964126,180
60,-569.765194,180
61,-539.450611,180
62,-536.04215,180
63,-494.607804,180
64,-534.657486,180
65,-626.739816,180
66,-448.415209,180
67,-437.723201,180
68,-550.039697,180
69,-455.343329,180
70,-544.099729,180
71,-465.355412,180
72,-512.894091,180
73,-438.002419,180
74,-447.99092,180
75,-512.782342,180
76,-477.426962,180
77,-442.344428,180
78,-526.657939,180
79,-466.616491,180
80,-546.477455,180
81,-434.881061,180
82,-446.370601,180
83,-384.410791,180
84,-390.049696,180
85,-418.009217,180
86,-429.424518,180
87,-413.075615,180
88,-438.865572,180
89,-420.806517,180
90,-487.082675,180
91,-402.389724,180
92,-279.791869,180
93,-440.734581,180
94,-483.297192,180
95,-472.637615,180
96,-484.035318,180
97,-444.603823,180
98,-456.989654,180
99,-470.016573,180
100,-473.477546,180
101,-477.389567,180
102,-427.982462,180
103,-453.363251,180
104,-431.171155,180
105,-484.212083,180
106,-495.116404,180
107,-431.217787,180
108,-436.881622,180
109,-421.38207,180
110,-459.183402,180
111,-509.905346,180
112,-417.47,180
113,-400.641886,180
114,-398.96263,180
115,-388.294599,180
116,-404.975657,180
117,-363.743218,180
118,-358.114996,180
119,-438.826435,180
120,-404.933071,180
121,-331.95646,180
122,-335.928428,180
123,-424.274363,180
124,-414.448489,180
125,-386.948142,180
126,-367.518066,180
127,-376.919448,180
128,-358.561583,180
129,-336.2962,180
130,-378.835895,180
131,-408.311801,180
132,-333.540757,180
133,-215.94193,180
134,-291.236162,180
135,-294.932269,180
136,-308.72746,180
137,-302.769644,180
138,-264.743641,180
139,-335.335592,180
140,-321.43688,180
141,-194.996885,180
142,-293.839561,180
143,-264.538577,180
144,-317.438362,180
145,-398.58646,180
146,-298.925478,180
147,-253.808309,180
148,-274.846259,180
149,-343.965655,180
150,-361.322482,180
151,-298.883284,180
152,-286.280146,180
153,-341.05905,180
154,-336.551257,180
155,-293.079633,180
156,-288.102272,180
157,-337.138899,180
158,-309.283906,180
159,-389.084799,180
160,-377.691957,180
161,-382.042613,180
162,-284.860558,180
163,-292.038026,180
164,-313.389716,180
165,-362.85478,180
166,-232.574688,180
167,-253.385858,180
168,-286.595117,180
169,-300.382402,180
170,-249.498169,180
171,-270.653007,180
172,-265.152508,180
173,-267.153279,180
174,-315.156244,180
175,-293.515777,180
176,-273.404984,180
177,-296.250126,180
178,-288.607718,180
179,-329.024884,180
180,-272.62953,180
181,-223.961578,180
182,-223.301198,180
183,-293.703106,180
184,-217.16152,180
185,-284.562439,180
186,-275.349383,180
187,-270.683447,180
188,-303.177729,180
189,-183.53643,180
190,-266.462977,180
191,-299.015655,180
192,-292.110346,180
193,-306.910281,180
194,-248.947176,180
195,-240.397089,180
196,-260.210798,180
197,-204.568756,180
198,-292.489471,180
199,-254.586885,180
200,-218.955139,180
201,-169.766968,180
202,-252.354291,180
203,-248.765748,180
204,-304.663688,180
205,-250.696076,180
206,-241.933468,180
207,-267.070443,180
208,-244.618291,180
209,-207.344633,180
210,-181.618904,180
211,-226.505967,180
212,-279.067862,180
213,-228.256336,180
214,-191.046924,180
215,-208.884091,180
216,-225.810188,180
217,-249.057497,180
218,-159.034784,180
219,-185.674363,180
220,-170.458098,180
221,-185.153537,180
222,-280.347193,180
223,-202.932474,180
224,-175.036892,180
225,-158.786649,180
226,-225.71462,180
227,-198.992595,180
228,-166.854237,180
229,-114.765726,180
230,-151.365921,180
231,-176.899255,180
232,-139.796645,180
233,-168.831253,180
234,-189.856653,180
235,-175.179777,180
236,-182.709623,180
237,-215.814088,180
238,-148.857762,180
239,-219.414109,180
240,-116.45602,180
241,-147.574993,180
242,-176.788005,180
243,-126.049779,180
244,-133.382421,180
245,-179.499496,180
246,-107.009506,180
247,-140.497865,180
248,-162.348937,180
249,-142.46196,180
250,-197.040532,180
251,-139.188497,180
252,-154.306329,180
253,-119.739629,180
254,-147.676935,180
255,-156.554619,180
256,-159.277921,180
257,-177.794164,180
258,-162.890792,180
259,-158.174227,180
260,-141.171523,180
261,-158.29505,180
262,-137.650454,180
263,-120.974262,180
264,-145.977189,180
265,-96.281866,180
266,-135.714867,180
267,-94.786992,180
268,-95.80123,180
269,-107.005245,180
270,-93.735502,180
271,-105.502878,180
272,-135.126682,180
273,-113.255144,180
274,-83.152715,180
275,-116.46622,180
276,-99.122081,180
277,-152.486281,180
278,-147.125532,180
279,-92.120611,180
280,-101.275686,180
281,-145.393807,180
282,-165.613215,180
283,-137.97956,180
284,-102.418603,180
285,-103.443374,180
286,-141.175112,180
287,-113.750672,180
288,-117.184797,180
289,-95.328452,180
290,-121.89066,180
291,-100.255367,180
292,-99.999609,180
293,-137.76769,180
294,-132.895765,180
295,-133.411839,180
296,-92.542785,180
297,-100.609747,180
298,-137.707665,180
299,-119.020948,180
300,-125.145131,180
301,-129.750877,180
302,-92.640341,180
303,-130.809365,180
304,-125.000906,180
305,-99.357456,180
306,-92.465897,180
307,-96.396826,180
308,-109.748446,180
309,-102.508674,180
310,-126.583989,180
311,-133.798571,180
312,-135.803011,180
313,-120.592327,180
314,-101.365208,180
315,-126.401083,180
316,-95.212721,180
317,-86.233629,180
318,-142.068073,180
319,-97.070845,180
320,-75.09914,180
321,-83.664831,180
322,-101.792241,180
323,-132.842247,180
324,-109.978931,180
325,-111.134861,180
326,-127.421004,180
327,-108.708367,180
328,-123.382991,180
329,-119.60425,180
330,-100.890091,180
331,-85.439893,180
332,-100.446724,180
333,-139.432513,180
334,-111.519922,180
335,-80.536499,180
336,-77.948078,180
337,-105.980964,180
338,-77.643556,180
339,-107.610778,180
340,-114.893931,180
341,-97.97483,180
342,-81.075711,180
343,-79.469105,180
344,-97.268162,180
345,-81.883192,180
346,-115.571957,180
347,-89.447051,180
348,-112.638287,180
349,-92.21003,180
350,-87.135585,180
351,-130.355238,180
352,-88.806041,180
353,-85.806609,180
354,-96.921333,180
355,-92.521801,180
356,-89.137588,180
357,-131.255822,180
358,-142.224134,180
359,-121.758421,180
360,-64.880846,180
361,-99.194286,180
362,-87.471248,180
363,-90.917509,180
364,-75.503796,180
365,-64.12895,180
366,-95.932077,180
367,-97.33045,180
368,-86.316521,180
369,-62.700932,180
370,-70.691625,180
371,-83.923824,180
372,-84.253712,180
373,-95.161704,180
374,-105.470826,180
375,-114.412642,180
376,-96.574723,180
377,-73.769342,180
378,-80.365921,180
379,-88.903223,180
380,-81.63896,180
381,-101.482693,180
382,-69.145929,180
383,-85.651214,180
384,-70.023473,180
385,-107.634893,180
386,-91.851595,180
387,-77.927691,180
388,-91.961747,180
389,-101.595553,180
390,-53.643837,180
391,-83.671941,180
392,-103.593121,180
393,-77.96252,180
394,-78.196477,180
395,-82.523451,180
396,-78.513256,180
397,-105.787575,180
398,-85.993474,180
399,-82.184255,180
400,-71.306244,180
401,-73.309756,180
402,-78.57009,180
403,-101.754572,180
404,-80.640237,180
405,-96.807739,180
406,-80.220578,180
407,-100.09507,180
408,-76.601689,180
409,-60.121681,180
410,-79.105939,180
411,-81.904045,180
412,-80.873727,180
413,-77.795831,180
414,-74.310688,180
415,-84.335694,180
416,-72.964424,180
417,-102.520568,180
418,-85.897372,180
419,-69.726119,180
420,-82.150357,180
421,-98.805948,180
422,-88.131761,180
423,-60.726947,180
424,-114.450999,180
425,-93.808062,180
426,-86.723663,180
427,-64.078449,180
428,-71.757187,180
429,-72.165071,180
430,-71.382896,180
431,-85.062638,180
432,-67.236053,180
433,-52.267334,180
434,-71.629077,180
435,-93.920522,180
436,-75.492693,180
437,-82.420101,180
438,-75.221547,180
439,-78.836613,180
440,-88.381455,180
441,-82.640097,180
442,-103.164573,180
443,-95.489591,180
444,-80.38778,180
445,-71.68253,180
446,-81.952172,180
447,-88.82489,180
448,-65.114538,180
449,-84.759586,180
450,-79.953875,180
451,-89.410651,180
452,-95.022428,180
453,-88.656355,180
454,-88.328452,180
455,-76.729354,180
456,-85.343774,180
457,-69.800701,180
458,-77.504283,180
459,-89.463259,180
460,-64.237161,180
461,-68.271905,180
462,-63.445277,180
463,-69.882533,180
464,-66.722394,180
465,-66.275481,180
466,-91.341649,180
467,-80.034981,180
468,-87.178255,180
469,-87.403906,180
470,-61.649774,180
471,-88.042437,180
472,-75.934653,180
473,-81.423577,180
474,-62.230363,180
475,-85.006022,180
476,-73.176069,180
477,-74.602368,180
478,-65.929398,180
479,-71.090535,180
480,-63.699627,180
481,-81.19297,180
482,-75.847973,180
483,-74.347327,180
484,-69.08961,180
485,-64.543893,180
486,-66.840607,180
487,-77.094404,180
488,-67.939985,180
489,-89.193716,180
490,-54.183256,180
491,-83.844729,180
492,-72.535944,180
493,-68.010181,180
494,-65.81414,180
495,-68.68092,180
496,-82.455725,180
497,-62.387045,180
498,-70.779053,180
499,-67.198608,180
500,-64.129192,180
501,-74.913739,180
502,-91.415863,180
503,-93.548179,180
504,-84.080627,180
505,-74.485374,180
506,-57.651131,180
507,-72.795008,180
508,-92.473884,180
509,-71.570859,180
510,-73.200263,180
511,-66.322236,180
512,-89.120676,180
513,-64.561066,180
514,-69.974833,180
515,-61.18961,180
516,-68.953062,180
517,-60.574945,180
518,-70.046592,180
519,-72.290109,180
520,-57.803518,180
521,-66.466313,180
522,-62.601073,180
523,-77.210496,180
524,-63.646419,180
525,-71.013122,180
526,-77.273334,180
527,-59.719789,180
528,-79.067364,180
529,-65.03255,180
530,-76.404499,180
531,-68.394683,180
532,-84.709335,180
533,-62.626671,180
534,-59.798253,180
535,-77.548582,180
536,-88.722022,180
537,-88.697361,180
538,-84.382056,180
539,-75.66382,180
540,-81.297206,180
541,-113.961109,180
542,-88.846518,180
543,-77.530005,180
544,-63.820523,180
545,-71.057224,180
546,-67.975014,180
547,-60.474539,180
548,-89.132489,180
549,-54.491063,180
550,-71.94667,180
551,-77.778965,180
552,-92.86729,180
553,-68.957607,180
554,-76.393811,180
555,-80.169666,180
556,-91.928952,180
557,-71.63146,180
558,-84.830508,180
559,-72.865587,180
560,-69.344513,180
561,-58.608841,180
562,-60.590162,180
563,-68.359692,180
564,-68.120761,180
565,-77.502292,180
566,-71.689273,180
567,-72.907299,180
568,-77.56602,180
569,-68.447379,180
570,-70.089292,180
571,-69.286129,180
572,-60.794444,180
573,-79.273852,180
574,-85.3461,180
575,-63.412899,180
576,-62.607664,180
577,-47.661534,180
578,-78.813315,180
579,-54.673542,180
580,-57.525946,180
581,-67.106351,180
582,-62.081391,180
583,-64.925659,180
584,-69.699754,180
585,-73.525327,180
586,-60.013608,180
587,-160.796094,180
588,-62.334234,180
589,-141.150734,180
590,-76.401411,180
591,-82.498013,180
592,-101.85987,180
593,-56.36624,180
594,-192.57886,180
595,-64.531657,180
596,-70.608447,180
597,-59.703299,180
598,-51.571784,180
599,-63.792614,180
600,-55.811614,180
601,-58.442199,180
602,-91.210246,180
603,-59.317586,180
604,-67.632189,180
605,-52.330744,180
606,-56.522036,180
607,-63.943984,180
608,-81.223903,180
609,-68.069836,180
610,-52.87455,180
611,-65.348092,180
612,-62.762633,180
613,-74.257272,180
614,-53.977246,180
615,-77.239619,180
616,-55.166844,180
617,-71.159025,180
618,-94.355365,180
619,-64.33035,180
620,-60.131458,180
621,-44.480105,180
622,-63.257011,180
623,-58.101142,180
624,-51.732649,180
625,-68.999662,180
626,-86.226783,180
627,-57.035227,180
628,-83.186485,180
629,-61.284162,180
630,-60.459806,180
631,-60.681706,180
632,-94.998493,180
633,-60.057106,180
634,-72.526888,180
635,-77.833176,180
636,-69.268446,180
637,-72.593724,180
638,-64.446006,180
639,-69.876896,180
640,-53.554485,180
641,-59.890826,180
642,-144.091931,180
643,-69.413388,180
644,-63.997647,180
645,-62.828457,180
646,-50.445825,180
647,-59.998326,180
648,-48.340539,180
649,-61.617599,180
650,-56.644961,180
651,-64.700619,180
652,-70.812167,180
653,-68.446987,180
654,-56.566093,180
655,-55.836328,180
656,-52.562607,180
657,-79.821944,180
658,-64.542293,180
659,-63.890518,180
660,-65.95118,180
661,-43.65555,180
662,-50.418749,180
663,-57.126007,180
664,-180.837361,180
665,-60.209007,180
666,-132.082485,180
667,-59.848244,180
668,-88.222617,180
669,-62.55646,180
670,-74.316688,180
671,-59.185941,180
672,-73.813284,180
673,-63.738059,180
674,-67.348418,180
675,-69.477223,180
676,-49.163564,180
677,-67.667241,180
678,-80.765183,180
679,-71.184778,180
680,-65.804682,180
681,-48.269214,180
682,-82.258535,180
683,-58.039437,180
684,-84.802328,180
685,-55.720854,180
686,-45.697539,180
687,-64.253358,180
688,-60.919336,180
689,-93.948561,180
690,-48.502373,180
691,-55.083121,180
692,-56.198848,180
693,-73.747497,180
694,-134.67264,180
695,-153.105203,180
696,-59.506919,180
697,-58.077264,180
698,-50.841244,180
699,-61.519652,180
700,-68.192842,180
701,-48.059473,180
702,-78.045645,180
703,-122.404289,180
704,-161.762598,180
705,-71.208919,180
