episode,reward,length
1,-22.394709,180
2,-20.889519,180
3,-17.285094,180
4,-15.420481,180
5,-14.39944,180
6,-20.348994,180
7,-13.903931,180
8,-14.441831,180
9,-16.020759,180
10,-16.652012,180
11,-9.274845,180
12,-15.032684,180
13,-17.000599,180
14,-16.591591,180
15,-18.835492,180
16,-9.379628,180
17,-16.107407,180
18,-11.83836,180
19,-10.164914,180
20,-11.652211,180
21,-11.505892,180
22,-9.040316,180
23,-12.311145,180
24,-15.716077,180
25,-11.422673,180
26,-10.109654,180
27,-12.781851,180
28,-9.713853,180
29,-10.146277,180
30,-11.256672,180
31,-9.67848,180
32,-15.117174,180
33,-14.166995,180
34,-11.113174,180
35,-11.132945,180
36,-13.136528,180
37,-8.41632,180
38,-10.233951,180
39,-8.41584,180
40,-10.965806,180
41,-11.726376,180
42,-9.359836,180
43,-12.13272,180
44,-10.31309,180
45,-20.634881,180
46,-9.723641,180
47,-12.113475,180
48,-9.883288,180
49,-10.67934,180
50,-8.337282,180
51,-9.421249,180
52,-14.317118,180
53,-9.668099,180
54,-8.049231,180
55,-11.976498,180
56,-12.048698,180
57,-11.37199,180
58,-9.308871,180
59,-9.885197,180
60,-11.638843,180
61,-10.297395,180
62,-13.467609,180
63,-8.784679,180
64,-11.545163,180
65,-6.0739,180
66,-9.758688,180
67,-13.481092,180
68,-14.00433,180
69,-9.562046,180
70,-11.484178,180
71,-6.952592,180
72,-8.422428,180
73,-9.327941,180
74,-10.801111,180
75,-9.131732,180
76,-10.058915,180
77,-7.746828,180
78,-10.679699,180
79,-10.594496,180
80,-8.428735,180
81,-10.570546,180
82,-9.079406,180
83,-9.811536,180
84,-8.962596,180
85,-10.299503,180
86,-9.86126,180
87,-11.097538,180
88,-11.471203,180
89,-8.529759,180
90,-8.413958,180
91,-10.95466,180
92,-10.900471,180
93,-7.507346,180
94,-8.149406,180
95,-9.532687,180
96,-8.912464,180
97,-10.290755,180
98,-8.382316,180
99,-5.899763,180
100,-11.498617,180
101,-9.144495,180
102,-11.259695,180
103,-6.804508,180
104,-7.830841,180
105,-6.797674,180
106,-10.60515,180
107,-7.967636,180
108,-8.757289,180
109,-8.053571,180
110,-7.335209,180
111,-7.528036,180
112,-7.392992,180
113,-8.123103,180
114,-9.420078,180
115,-7.090213,180
116,-7.511175,180
117,-8.606711,180
118,-7.804452,180
119,-5.81733,180
120,-7.659354,180
121,-5.205447,180
122,-8.57452,180
123,-7.361268,180
124,-7.503597,180
125,-12.02028,180
126,-6.173705,180
127,-7.344166,180
128,-6.445826,180
