episode,reward,length
1,-18.365338,180
2,-16.039311,180
3,-12.043845,180
4,-12.740357,180
5,-16.22607,180
6,-16.64242,180
7,-13.095485,180
8,-12.559042,180
9,-13.937755,180
10,-17.236721,180
11,-18.854383,180
12,-19.612551,180
13,-19.475335,180
14,-14.729354,180
15,-17.161039,180
16,-23.202468,180
17,-9.746583,180
18,-17.561475,180
19,-11.577577,180
20,-15.597792,180
21,-25.438948,180
22,-16.401426,180
23,-15.525864,180
24,-23.140156,180
25,-22.830971,180
26,-18.720385,180
27,-11.48026,180
28,-19.074432,180
29,-12.261792,180
30,-19.625013,180
31,-19.563418,180
32,-22.862906,180
33,-25.665942,180
34,-18.378847,180
35,-17.4506,180
36,-24.036092,180
37,-26.823943,180
38,-22.568764,180
39,-17.354928,180
40,-17.878204,180
41,-10.781083,180
42,-23.804211,180
43,-16.171021,180
44,-6.49778,180
45,-27.796347,180
46,-11.697208,180
47,-17.60646,180
48,-11.313679,180
49,-9.552674,180
50,-16.304717,180
51,-17.229307,180
52,-15.718868,180
53,-22.314602,180
54,-12.492691,180
55,-13.728034,180
56,-13.040097,180
57,-10.793965,180
58,-22.047884,180
59,-12.267784,180
60,-22.236364,180
61,-24.049682,180
62,-18.807259,180
63,-12.558787,180
64,-16.006885,180
65,-16.935556,180
66,-16.439048,180
67,-14.4525,180
68,-29.802983,180
69,-10.909597,180
70,-20.310766,180
71,-13.690711,180
72,-18.503017,180
73,-14.870129,180
74,-14.908863,180
75,-35.458021,180
76,-12.195885,180
77,-23.144056,180
78,-22.150511,180
79,-25.035175,180
80,-18.853015,180
81,-17.207978,180
82,-18.793767,180
83,-14.932233,180
84,-10.114688,180
85,-16.285485,180
86,-21.792061,180
87,-15.10031,180
88,-20.902209,180
89,-17.625407,180
90,-23.890399,180
91,-18.056415,180
92,-12.452035,180
93,-23.191972,180
94,-33.97637,180
95,-24.552803,180
96,-26.585422,180
97,-18.995676,180
98,-17.635437,180
99,-23.882368,180
100,-21.736806,180
101,-22.891027,180
102,-23.550561,180
103,-18.731014,180
104,-22.528859,180
105,-19.730808,180
106,-21.871236,180
107,-28.903995,180
108,-19.876217,180
109,-17.512306,180
110,-22.470752,180
111,-16.771009,180
112,-21.230035,180
113,-17.994452,180
114,-20.849026,180
115,-21.267426,180
116,-16.77832,180
117,-22.341914,180
118,-13.163908,180
119,-23.712575,180
120,-29.926915,180
121,-12.389656,180
122,-14.097068,180
123,-22.428192,180
124,-14.111744,180
125,-18.738653,180
126,-18.473424,180
127,-30.02428,180
128,-21.112859,180
129,-12.426397,180
130,-30.18265,180
131,-20.379993,180
132,-15.541929,180
133,-10.32636,180
134,-19.406909,180
135,-18.063843,180
136,-12.469058,180
137,-23.172067,180
138,-18.222215,180
139,-17.366932,180
140,-24.705874,180
141,-12.780334,180
142,-17.203784,180
143,-14.060338,180
144,-12.788982,180
145,-25.870659,180
146,-12.23371,180
147,-11.3146,180
148,-18.447984,180
149,-16.611014,180
150,-13.327997,180
151,-21.664446,180
152,-18.665225,180
153,-21.964745,180
154,-20.496098,180
155,-23.969978,180
156,-9.290156,180
157,-14.292094,180
158,-18.126339,180
159,-25.424313,180
160,-21.375889,180
161,-14.427182,180
162,-17.423893,180
163,-13.389426,180
164,-19.482516,180
165,-24.780781,180
166,-10.118656,180
167,-12.534886,180
168,-19.772151,180
169,-18.941571,180
170,-16.815874,180
171,-20.063442,180
172,-18.860357,180
173,-8.669388,180
174,-16.88917,180
175,-15.919933,180
176,-20.651606,180
177,-22.32092,180
178,-18.005056,180
179,-20.511501,180
180,-16.771718,180
181,-18.725504,180
182,-12.553607,180
183,-23.561436,180
184,-22.444568,180
185,-21.115057,180
186,-9.509926,180
187,-15.442348,180
188,-20.472512,180
189,-5.837153,180
190,-14.9491,180
191,-20.425128,180
192,-13.924239,180
193,-14.036816,180
194,-23.767035,180
195,-14.414877,180
196,-13.6275,180
197,-8.367746,180
198,-14.244503,180
199,-13.652207,180
200,-14.01614,180
201,-10.550718,180
202,-15.357791,180
203,-12.854151,180
204,-12.879988,180
205,-23.403015,180
206,-12.15522,180
207,-15.039608,180
208,-11.832465,180
209,-9.362847,180
210,-15.550896,180
211,-8.461492,180
212,-19.660529,180
213,-16.653734,180
214,-9.125094,180
215,-9.447427,180
216,-8.480071,180
217,-13.73727,180
218,-6.292914,180
219,-8.975975,180
220,-10.298553,180
221,-11.674198,180
222,-13.671257,180
223,-14.036997,180
224,-8.872633,180
225,-7.159908,180
226,-12.511623,180
227,-10.003549,180
228,-5.756954,180
229,-7.462764,180
230,-5.862851,180
231,-6.775292,180
232,-6.237524,180
233,-9.934725,180
234,-7.696005,180
235,-12.501433,180
236,-11.337776,180
237,-9.016148,180
238,-6.106738,180
239,-10.789895,180
240,-8.663819,180
241,-5.030511,180
242,-16.09537,180
243,-5.856248,180
244,-6.192729,180
245,-8.426819,180
246,-5.27969,180
247,-5.414558,180
248,-9.675263,180
