episode,reward,length
1,-8.073123,180
2,-11.419757,180
3,-19.831486,180
4,-19.750183,180
5,-17.457321,180
6,-13.489487,180
7,-11.147272,180
8,-51.806673,180
9,-18.876619,180
10,-31.064618,180
11,-8.713581,180
12,-25.257955,180
13,-49.970703,180
14,-20.912968,180
15,-8.24388,180
16,-10.209178,180
17,-9.165635,180
18,-9.741934,180
19,-6.494885,180
20,-6.878311,180
21,-4.800563,180
22,-4.089888,180
23,-9.260582,180
24,-8.861488,180
25,-8.982323,180
26,-5.846089,180
27,-7.974587,180
28,-12.260507,180
29,-11.282385,180
30,-5.963782,180
31,-3.514083,180
32,-4.57876,180
33,-4.9817,180
34,-5.801475,180
35,-3.917031,180
36,-5.52236,180
37,-4.304961,180
38,-4.502249,180
39,-4.406256,180
40,-5.09921,180
41,-4.038881,180
42,-4.801793,180
43,-4.629151,180
44,-4.355269,180
45,-5.66767,180
46,-5.355402,180
47,-6.427571,180
48,-6.739665,180
49,-5.701932,180
50,-5.311368,180
51,-4.546424,180
52,-5.605602,180
53,-3.8101,180
54,-3.923736,180
55,-4.458579,180
56,-4.239614,180
57,-5.060026,180
58,-3.8169,180
59,-3.456758,180
60,-3.802562,180
61,-4.462463,180
62,-3.619899,180
63,-4.348568,180
64,-4.28231,180
65,-7.06956,180
66,-5.265513,180
67,-4.673866,180
68,-4.105673,180
69,-3.725487,180
70,-5.511235,180
71,-6.134193,180
72,-3.928685,180
73,-3.741482,180
74,-6.324243,180
75,-4.479713,180
76,-5.638154,180
77,-4.054895,180
78,-4.365623,180
79,-4.192847,180
80,-4.991788,180
81,-6.162587,180
82,-4.163237,180
83,-5.783179,180
84,-5.140709,180
85,-7.29934,180
86,-6.405778,180
87,-5.573417,180
88,-6.341252,180
89,-7.903911,180
90,-5.599043,180
91,-9.260809,180
92,-6.012241,180
93,-5.536133,180
94,-7.578829,180
95,-5.265541,180
96,-6.527698,180
97,-8.354994,180
98,-8.07062,180
99,-7.064076,180
100,-6.181108,180
101,-6.122683,180
102,-5.512087,180
103,-6.692219,180
104,-4.781151,180
105,-4.663005,180
106,-4.968551,180
107,-4.448522,180
108,-5.290061,180
109,-4.073344,180
110,-6.292491,180
111,-4.538937,180
112,-3.670356,180
113,-4.126012,180
114,-4.217909,180
115,-4.473658,180
116,-5.047796,180
117,-4.430723,180
118,-4.582252,180
119,-4.969013,180
120,-4.271265,180
121,-3.84573,180
122,-3.45446,180
123,-3.881311,180
124,-4.225797,180
125,-4.10113,180
126,-4.1713,180
127,-2.93065,180
128,-5.347128,180
129,-3.354762,180
130,-3.60778,180
131,-3.14825,180
132,-3.433161,180
133,-2.697764,180
134,-5.091043,180
135,-4.727333,180
136,-4.536028,180
137,-4.289662,180
138,-2.853663,180
139,-2.756103,180
140,-3.3997,180
141,-3.302936,180
142,-2.487716,180
143,-2.699939,180
144,-3.298032,180
145,-6.439286,180
146,-2.545695,180
147,-3.034019,180
148,-3.08891,180
149,-2.47933,180
150,-3.937688,180
151,-3.587227,180
152,-2.524434,180
153,-2.702561,180
154,-2.657311,180
155,-5.499093,180
156,-3.130398,180
157,-4.334145,180
158,-3.929157,180
159,-3.259072,180
160,-2.817108,180
161,-5.507918,180
162,-2.992941,180
163,-3.043528,180
164,-3.27675,180
165,-3.980028,180
166,-5.634739,180
167,-3.418317,180
168,-2.564027,180
169,-3.32174,180
170,-3.195307,180
171,-2.633933,180
172,-4.669374,180
173,-5.401626,180
174,-3.899217,180
175,-2.47168,180
176,-3.886723,180
177,-3.042941,180
178,-2.825959,180
179,-2.884158,180
180,-2.593037,180
181,-3.322323,180
182,-4.31253,180
183,-3.161088,180
184,-2.9415,180
185,-3.935672,180
186,-3.447097,180
187,-2.737101,180
188,-3.433909,180
189,-4.090467,180
190,-2.931441,180
191,-3.912883,180
192,-3.271083,180
193,-3.52473,180
194,-2.522393,180
195,-2.680661,180
196,-3.481248,180
197,-2.448858,180
198,-2.538837,180
199,-2.851512,180
200,-2.788619,180
201,-2.471609,180
202,-2.248252,180
203,-3.107063,180
204,-2.160751,180
205,-2.18997,180
206,-2.29823,180
207,-2.183567,180
208,-2.314764,180
209,-3.088215,180
210,-2.071198,180
211,-2.311183,180
212,-1.912924,180
213,-2.250555,180
214,-2.224501,180
215,-2.207688,180
216,-1.793174,180
217,-2.081889,180
218,-2.013924,180
219,-1.915645,180
220,-1.673684,180
221,-2.112463,180
222,-1.971033,180
223,-1.863206,180
224,-2.201456,180
225,-2.140858,180
226,-1.675675,180
227,-3.334667,180
228,-2.364837,180
229,-1.726274,180
230,-1.63902,180
231,-2.024269,180
232,-2.115567,180
233,-1.956356,180
234,-1.541332,180
235,-2.012484,180
236,-1.921792,180
237,-1.774913,180
238,-2.257945,180
239,-1.929045,180
240,-1.807841,180
241,-1.999484,180
242,-1.977737,180
243,-2.285913,180
244,-1.76701,180
245,-1.643436,180
246,-1.773347,180
247,-1.62428,180
248,-1.917158,180
249,-1.733782,180
250,-1.57472,180
251,-1.720824,180
252,-1.43151,180
253,-1.513333,180
254,-1.701913,180
255,-1.869138,180
256,-1.698438,180
257,-2.133321,180
258,-1.387392,180
259,-1.743119,180
260,-1.642028,180
261,-1.585575,180
262,-1.71399,180
263,-1.427255,180
264,-1.915979,180
265,-1.492046,180
266,-1.488917,180
267,-1.680643,180
268,-1.571773,180
269,-1.978607,180
270,-1.378145,180
271,-1.350861,180
272,-2.06077,180
273,-1.826947,180
274,-1.970687,180
275,-1.996656,180
276,-1.579173,180
277,-1.695517,180
278,-1.843288,180
279,-1.576593,180
280,-1.568526,180
281,-1.638594,180
282,-1.891025,180
283,-1.521664,180
284,-1.816756,180
285,-1.345292,180
286,-1.831388,180
287,-2.076786,180
288,-2.30536,180
289,-1.745281,180
290,-1.762779,180
291,-2.216386,180
292,-1.894073,180
293,-1.861752,180
294,-2.121446,180
295,-1.709208,180
296,-1.464244,180
297,-1.79485,180
298,-1.471574,180
299,-1.662666,180
300,-1.725499,180
301,-1.606099,180
302,-2.067087,180
303,-1.619115,180
304,-1.390279,180
305,-1.867598,180
306,-1.992223,180
307,-1.970981,180
308,-1.771217,180
309,-1.851219,180
