episode,reward,length
1,-18.399665,180
2,-16.720998,180
3,-11.854316,180
4,-12.924737,180
5,-16.44156,180
6,-16.86364,180
7,-12.16667,180
8,-16.047768,180
9,-17.4252,180
10,-13.330571,180
11,-9.309473,180
12,-27.25957,180
13,-12.73472,180
14,-8.838756,180
15,-11.583586,180
16,-23.352571,180
17,-6.486301,180
18,-7.823051,180
19,-7.666268,180
20,-3.725081,180
21,-6.191804,180
22,-7.291463,180
23,-6.153393,180
24,-8.431961,180
25,-13.126149,180
26,-7.951868,180
27,-6.417517,180
28,-6.993861,180
29,-6.21488,180
30,-5.063207,180
31,-7.594414,180
32,-8.03488,180
33,-12.033477,180
34,-5.418413,180
35,-9.364453,180
36,-10.648631,180
37,-7.647573,180
38,-6.168433,180
39,-6.527074,180
40,-7.795374,180
41,-7.566019,180
42,-7.293604,180
43,-8.98018,180
44,-8.069915,180
45,-6.190353,180
46,-6.169835,180
47,-7.85805,180
48,-6.7873,180
49,-5.856481,180
50,-5.006353,180
51,-5.699161,180
52,-5.007709,180
53,-5.29698,180
54,-4.769713,180
55,-5.616787,180
56,-6.845352,180
57,-6.650461,180
58,-5.253261,180
59,-4.793266,180
60,-5.606924,180
61,-5.116524,180
62,-6.671308,180
63,-5.311435,180
64,-7.60717,180
65,-5.544742,180
66,-6.435484,180
67,-6.032263,180
68,-4.886379,180
69,-5.773733,180
70,-6.505561,180
71,-6.271871,180
72,-6.515957,180
73,-6.102963,180
74,-6.529429,180
75,-6.907242,180
76,-6.226164,180
77,-7.337837,180
78,-7.703055,180
79,-8.780965,180
80,-7.769767,180
81,-8.302087,180
82,-6.75069,180
83,-5.529056,180
84,-7.063823,180
85,-5.363669,180
86,-8.312138,180
87,-5.338176,180
88,-6.007221,180
89,-5.768038,180
90,-5.293717,180
91,-6.823152,180
92,-6.153073,180
93,-7.829055,180
94,-6.25908,180
95,-6.201769,180
96,-5.474197,180
97,-5.669447,180
98,-5.952105,180
99,-5.369504,180
100,-5.710177,180
101,-5.449128,180
102,-6.041161,180
103,-5.121056,180
104,-6.581088,180
105,-6.45741,180
106,-4.240389,180
107,-6.471862,180
108,-6.199141,180
109,-5.554387,180
110,-6.542498,180
111,-4.667632,180
112,-6.473858,180
113,-5.956595,180
114,-4.534578,180
115,-5.591309,180
116,-4.984544,180
117,-5.509343,180
118,-4.905699,180
119,-3.996297,180
120,-6.051151,180
121,-5.055511,180
122,-5.497389,180
123,-5.704617,180
124,-4.832376,180
125,-5.034537,180
126,-5.439522,180
127,-5.234075,180
128,-6.208195,180
129,-6.857286,180
130,-6.62085,180
131,-5.395587,180
132,-4.934291,180
133,-5.205397,180
134,-7.621276,180
135,-5.896748,180
136,-6.420007,180
137,-8.042557,180
138,-6.015078,180
139,-6.580918,180
140,-5.909997,180
141,-7.065056,180
142,-6.64243,180
143,-7.716717,180
144,-5.174857,180
145,-5.435138,180
146,-3.575872,180
147,-4.03459,180
148,-3.533779,180
149,-3.832629,180
150,-3.095261,180
151,-4.758489,180
152,-2.816985,180
153,-4.671844,180
154,-4.520846,180
155,-5.243253,180
156,-4.124188,180
157,-5.444059,180
158,-4.075754,180
159,-4.888746,180
160,-4.939312,180
161,-4.056083,180
162,-3.192863,180
163,-3.943202,180
164,-4.243697,180
165,-4.097272,180
166,-3.014869,180
167,-2.956255,180
168,-3.653894,180
169,-3.262259,180
170,-3.399631,180
171,-3.253216,180
172,-3.697419,180
173,-3.126561,180
174,-4.137499,180
175,-2.878609,180
176,-3.798878,180
177,-3.886371,180
178,-3.386703,180
179,-4.34197,180
180,-3.867113,180
181,-3.515763,180
182,-4.043728,180
183,-3.42358,180
184,-3.689563,180
185,-3.447428,180
186,-3.587394,180
187,-3.438743,180
188,-3.668218,180
189,-3.596498,180
190,-4.410244,180
191,-4.432308,180
192,-4.343733,180
193,-2.996286,180
194,-3.837135,180
195,-2.965198,180
196,-4.427675,180
197,-3.812781,180
198,-4.039966,180
199,-3.453042,180
200,-3.638354,180
201,-3.168477,180
202,-4.533122,180
203,-3.403497,180
204,-3.821753,180
205,-3.700021,180
206,-4.315248,180
207,-3.68382,180
208,-5.417099,180
209,-4.537759,180
210,-4.222116,180
211,-4.656492,180
212,-5.62116,180
213,-5.120815,180
214,-3.566626,180
215,-5.403352,180
216,-4.848033,180
217,-4.666989,180
218,-3.586198,180
219,-3.704825,180
220,-3.170954,180
221,-3.357458,180
222,-4.012243,180
223,-4.349836,180
