episode,reward,length
1,-18.399665,180
2,-16.720998,180
3,-11.854316,180
4,-12.924737,180
5,-16.44156,180
6,-16.631137,180
7,-10.633503,180
8,-12.574406,180
9,-15.993253,180
10,-20.386713,180
11,-27.485037,180
12,-21.402676,180
13,-22.937063,180
14,-16.752574,180
15,-21.567774,180
16,-30.77151,180
17,-16.543863,180
18,-18.304626,180
19,-16.483553,180
20,-12.878052,180
21,-24.963113,180
22,-12.945497,180
23,-12.453883,180
24,-12.165185,180
25,-13.187365,180
26,-11.079331,180
27,-12.797231,180
28,-14.4589,180
29,-27.200164,180
30,-46.616148,180
31,-66.741708,180
32,-103.357966,180
33,-87.034674,180
34,-103.188598,180
35,-47.81807,180
36,-16.736771,180
37,-12.073632,180
38,-10.669743,180
39,-11.571628,180
40,-14.031521,180
41,-8.079025,180
42,-24.970658,180
43,-16.727311,180
44,-9.882954,180
45,-23.643083,180
46,-10.964077,180
47,-13.792583,180
48,-9.490856,180
49,-7.904154,180
50,-10.632933,180
51,-11.660599,180
52,-6.331648,180
53,-14.117158,180
54,-5.984851,180
55,-8.43464,180
56,-7.065089,180
57,-8.324884,180
58,-11.966915,180
59,-6.587855,180
60,-7.948199,180
61,-10.033131,180
62,-6.958886,180
63,-10.638438,180
64,-13.095566,180
65,-6.361756,180
66,-8.173132,180
67,-12.159849,180
68,-11.090238,180
69,-9.782514,180
70,-8.344025,180
71,-9.579341,180
72,-9.9985,180
73,-9.906189,180
74,-6.299522,180
75,-8.20565,180
76,-9.585258,180
77,-8.104078,180
78,-6.769342,180
79,-8.796951,180
80,-5.859449,180
81,-7.72249,180
82,-7.746138,180
83,-5.528504,180
84,-5.739758,180
85,-7.953713,180
86,-12.035525,180
87,-4.119542,180
88,-7.151209,180
89,-6.907313,180
90,-8.329385,180
91,-7.455039,180
92,-7.374116,180
93,-9.255142,180
94,-11.221608,180
95,-6.805644,180
96,-8.229756,180
97,-7.372269,180
98,-8.078935,180
99,-8.041179,180
100,-6.960339,180
101,-7.068568,180
102,-10.42519,180
103,-7.389449,180
104,-10.521775,180
105,-12.98027,180
106,-8.19266,180
107,-10.753166,180
108,-7.669053,180
109,-5.188338,180
110,-8.110164,180
111,-6.4742,180
112,-5.108368,180
113,-7.126414,180
114,-6.404679,180
115,-5.578737,180
116,-6.073466,180
117,-6.03365,180
118,-4.491768,180
119,-4.592709,180
120,-11.309987,180
121,-5.207348,180
122,-5.22043,180
123,-5.980016,180
124,-6.45463,180
125,-3.994514,180
126,-4.986966,180
127,-6.774618,180
128,-5.825135,180
129,-3.678516,180
130,-6.868473,180
131,-7.204231,180
132,-4.370963,180
133,-4.102384,180
134,-7.676337,180
135,-4.844051,180
136,-4.225077,180
137,-6.291065,180
138,-4.922479,180
139,-4.546582,180
140,-4.437535,180
141,-4.901384,180
142,-6.043471,180
143,-5.981314,180
144,-4.841599,180
145,-7.057582,180
146,-3.954024,180
147,-3.905321,180
148,-3.590544,180
149,-4.321486,180
150,-3.911648,180
151,-4.324719,180
152,-2.999432,180
153,-4.93183,180
154,-5.054943,180
155,-6.113349,180
156,-4.415169,180
157,-3.529454,180
158,-3.399086,180
159,-4.045785,180
160,-4.701308,180
161,-5.79801,180
162,-3.981084,180
163,-3.814724,180
164,-3.856446,180
165,-5.207785,180
166,-3.810706,180
167,-4.313507,180
168,-2.886261,180
169,-4.515092,180
170,-3.78138,180
171,-3.855098,180
172,-4.492908,180
173,-5.838003,180
174,-4.616904,180
175,-3.67396,180
176,-4.99399,180
177,-4.250981,180
178,-3.510563,180
179,-4.461272,180
180,-3.953016,180
181,-4.133334,180
182,-4.802323,180
183,-3.833689,180
184,-4.131157,180
185,-5.108076,180
186,-4.557631,180
187,-4.527,180
188,-4.641015,180
189,-4.434117,180
190,-4.191643,180
191,-4.410897,180
192,-6.281247,180
193,-6.012826,180
194,-5.978689,180
195,-6.657351,180
196,-6.687821,180
197,-7.624885,180
198,-6.639182,180
199,-5.261145,180
200,-5.4018,180
201,-5.147575,180
202,-4.822463,180
203,-4.868371,180
204,-3.670514,180
205,-4.572996,180
206,-3.738794,180
207,-3.324862,180
208,-3.805016,180
209,-4.378679,180
210,-5.364864,180
211,-4.108037,180
212,-4.203033,180
213,-4.384463,180
214,-3.49704,180
215,-3.674198,180
216,-3.271208,180
217,-3.837882,180
218,-3.722334,180
219,-3.040564,180
220,-2.858789,180
221,-3.106169,180
222,-4.366963,180
223,-3.372742,180
