episode,reward,length
1,-25.320000731577714,180
2,-29.00764262482627,180
3,-14.689101934449289,180
4,-16.204971849624872,180
5,-25.641954245621914,180
6,-28.88925189607291,180
7,-23.931612131303563,180
8,-23.849545476234134,180
9,-17.291013557745877,180
10,-29.463933681314685,180
11,-29.74146803166447,180
12,-25.160465059395023,180
13,-17.0097849617814,180
14,-38.365706362538724,180
15,-26.75657935223828,180
16,-17.947468638696098,180
17,-7.808712665790859,180
18,-35.62184912676277,180
19,-34.60369706696231,180
20,-24.420395558491794,180
21,-14.690107776080163,180
22,-8.235924225405773,180
23,-37.93841929555396,180
24,-13.696498073311135,180
25,-9.36303449820273,180
26,-10.467633733554381,180
27,-7.772268637551336,180
28,-11.692447614039931,180
29,-9.960088008731756,180
30,-4.995839402163408,180
31,-6.049560316742871,180
32,-5.4721875120500405,180
33,-7.985708918269437,180
34,-8.66969379806467,180
35,-6.822957637802777,180
36,-3.630353243331877,180
37,-4.550846479981559,180
38,-4.835260554825178,180
39,-3.2661750337054998,180
40,-8.81720717055613,180
41,-4.5205465727421785,180
42,-4.142867655406779,180
43,-5.91392001438606,180
44,-4.979628345648291,180
45,-5.43336894560611,180
46,-4.7862453900636925,180
47,-3.804134373359675,180
48,-4.183017376355985,180
49,-4.840157486692578,180
50,-3.6360341673048118,180
51,-5.149831384564032,180
52,-7.648584820986184,180
53,-6.131458627615418,180
54,-4.009280022835292,180
55,-4.852120215409554,180
56,-3.2603790882416144,180
57,-3.5655901595230715,180
58,-5.356356350372374,180
59,-4.530504860809669,180
60,-4.257889972343619,180
61,-3.070588684137909,180
62,-5.008471932631433,180
63,-4.004292858920902,180
64,-4.04179489666839,180
65,-3.78387989310413,180
66,-4.458868826808216,180
67,-3.421595217998138,180
68,-3.2586131571431025,180
69,-4.086824916559839,180
70,-4.554358784395228,180
71,-4.430581172684117,180
72,-7.0255610459449525,180
73,-4.920338975445212,180
74,-6.199485934352309,180
75,-3.846443958597504,180
76,-3.5964952038488716,180
77,-4.552935091884212,180
78,-5.381359115669227,180
79,-3.5835322613266833,180
80,-6.098775080655118,180
81,-5.3398009991664726,180
82,-9.084667887481908,180
83,-4.119090948400915,180
84,-5.866649506034222,180
85,-5.960225375893094,180
86,-4.5876999018674285,180
87,-4.517436056063016,180
88,-4.354603653783137,180
89,-6.201640341108516,180
90,-5.519378559510171,180
