episode,reward,length
1,-3.729744629597807,180
2,-3.264171015177009,180
3,-4.38252972465474,180
4,-2.8776152513638795,180
5,-3.3978258511897845,180
6,-2.841259691648899,180
7,-3.2483326368863477,180
8,-3.3606409850199466,180
9,-2.526558893214767,180
10,-3.534019695928708,180
11,-3.3617965994686974,180
12,-3.1758160379413143,180
13,-3.0476670506920924,180
14,-3.4694903448491297,180
15,-2.996389157105563,180
16,-2.953297954566276,180
17,-3.290640487027203,180
18,-3.2912480958154635,180
19,-3.79691847880792,180
20,-3.9554821531554842,180
21,-2.388881272716836,180
22,-3.5176943121800344,180
23,-2.8458614399809825,180
24,-3.158149506442584,180
25,-2.794836736728212,180
26,-3.2346357814302125,180
27,-2.801526670344825,180
28,-2.735187041171662,180
29,-4.209951731434104,180
30,-2.748066290602618,180
31,-3.744421260553912,180
32,-2.7569504893363477,180
33,-3.1130275968932333,180
34,-3.1123353043788047,180
35,-4.564868394910628,180
36,-2.891419666987393,180
37,-2.8075810876445866,180
38,-4.007366354415743,180
39,-2.3158111592156083,180
40,-3.0195905248427297,180
41,-3.748180478527241,180
42,-3.0660246400666127,180
43,-3.7448375230013187,180
44,-3.5713211621503844,180
45,-4.336456778704424,180
46,-3.723835034222065,180
47,-2.597817686734064,180
48,-3.125624183989468,180
49,-4.195345639292026,180
50,-2.6393377159113642,180
51,-3.3691756402181188,180
52,-4.683936622807736,180
53,-6.8373144887819315,180
54,-3.3725694621364264,180
55,-3.2710734294864343,180
56,-3.2597613062329582,180
57,-2.4389444039526786,180
58,-3.339371198572876,180
59,-3.108363497380044,180
60,-2.983801209111346,180
61,-2.6125915079651385,180
62,-4.348506969479845,180
63,-3.8869610659419056,180
64,-2.9661618977028272,180
65,-3.4753766975765408,180
66,-4.3653406924316345,180
67,-3.3478286255132104,180
68,-3.5009687430831384,180
69,-2.7773884258385753,180
70,-2.2082981863869033,180
71,-2.5125886744557016,180
72,-2.221212997405241,180
73,-3.571965525478122,180
74,-4.0066038649774605,180
75,-4.020200425261678,180
76,-2.195682128517565,180
77,-2.7033616703114847,180
78,-3.2902142774176,180
79,-2.487052014069126,180
80,-3.2676741912586014,180
81,-2.466099031582907,180
82,-6.736415753082396,180
83,-2.7141208488029207,180
84,-5.282360802231035,180
85,-2.7830786839368953,180
86,-3.50971329249617,180
87,-3.672307208795029,180
88,-3.2126943160906585,180
89,-4.296772790963048,180
90,-4.38366709907333,180
91,-2.47120967429519,180
92,-3.438410968547975,180
93,-7.343016831103686,180
94,-2.97327028564109,180
95,-5.7872603745058795,180
96,-4.699060291057161,180
97,-4.627169409212652,180
98,-2.940256530619831,180
99,-2.944883950039291,180
100,-3.4250803185140426,180
101,-3.004498739627072,180
102,-2.5814713804964855,180
103,-2.665920637169372,180
104,-3.950728842808076,180
105,-2.498689987360983,180
106,-5.4083092822583945,180
107,-3.0310405824981648,180
108,-4.219785989125724,180
109,-2.9336419926041475,180
110,-2.4525675100145983,180
111,-2.5940796220955584,180
112,-2.7198125903991657,180
113,-2.4073937750632504,180
114,-3.6600221272920934,180
115,-4.0120608436451874,180
116,-3.4433732343758088,180
117,-3.371300877737051,180
118,-3.3098090005817635,180
119,-3.1841765800518593,180
120,-3.3905458141886586,180
121,-3.637281242520495,180
122,-2.725362941595306,180
123,-3.5409767479122674,180
124,-2.5148455562170486,180
125,-2.59564573649614,180
126,-4.394318676624325,180
127,-2.4630113816651726,180
128,-2.639166541105046,180
129,-2.3112060452017458,180
130,-2.6876602242192074,180
131,-3.0972756460408433,180
132,-2.9316481443074727,180
133,-2.702280782463438,180
134,-2.8839035600002996,180
135,-2.4263703318287284,180
136,-2.605736469670492,180
137,-2.852756929183157,180
138,-2.7879717394880976,180
139,-2.8322446250813815,180
140,-2.798917826545111,180
141,-3.1237394789401947,180
142,-2.7070208133908262,180
143,-2.9842854816582447,180
144,-2.9061639950295444,180
145,-2.807138064050264,180
146,-2.501691814848471,180
147,-2.693528185777775,180
148,-3.4506479224542055,180
149,-2.2041384655062726,180
150,-2.522515215956521,180
151,-2.6344710321418763,180
152,-3.432932990394431,180
153,-2.911151071856348,180
154,-2.8892335323145604,180
155,-3.162423134042606,180
