episode,reward,length
1,-15.38532540343572,180
2,-21.887230453720345,180
3,-14.042729396613876,180
4,-18.293000059898933,180
5,-27.535767308897956,180
6,-29.972316770690448,180
7,-20.939355594098352,180
8,-25.855738436742932,180
9,-54.81070584107114,180
10,-42.40976869886397,180
11,-48.5370176181159,180
12,-56.470635914140885,180
13,-40.285687759069496,180
14,-59.24510969968503,180
15,-57.51355656168845,180
16,-42.52909125214231,180
17,-43.60719390560788,180
18,-40.349097301806545,180
19,-44.63616603643547,180
20,-38.79074499362506,180
21,-17.386375562233777,180
22,-19.989031339715808,180
23,-13.818843127626893,180
24,-13.520459145539473,180
25,-15.100147591040713,180
26,-14.684545313620065,180
27,-8.991386103719723,180
28,-11.184201088182473,180
29,-14.107169925024648,180
30,-14.34594809405022,180
31,-8.572979861439984,180
32,-11.256532710638666,180
33,-12.598999822452521,180
34,-9.697593752688837,180
35,-11.230750401046187,180
36,-10.827496940848226,180
37,-23.217779287315174,180
38,-10.043050986092549,180
39,-9.457196548103896,180
40,-13.23557792655813,180
41,-10.73538503581892,180
42,-8.910704959224832,180
43,-18.166789369411017,180
44,-10.693440999153552,180
45,-12.500241843446007,180
46,-21.440180211821886,180
47,-17.458865824209884,180
48,-22.11807118399713,180
49,-23.548697768186827,180
50,-23.382356711426045,180
51,-15.316886700391425,180
52,-20.220945432543623,180
53,-10.425551787018241,180
54,-13.807028034350923,180
55,-12.646249706512592,180
56,-13.53416839813709,180
57,-16.472379964013836,180
58,-12.55456129329849,180
59,-15.532250451892638,180
60,-14.72681911828014,180
61,-16.155479845142782,180
62,-17.115004994169087,180
63,-9.623490880350047,180
64,-16.19219413856843,180
65,-17.079344437381902,180
66,-20.27802739750854,180
67,-30.246712607857116,180
68,-25.893321799556393,180
69,-9.256799415970564,180
70,-13.841246491918422,180
71,-9.062749732562244,180
72,-13.271801858636811,180
73,-9.904514586217587,180
74,-9.44527660904132,180
75,-12.343811001288383,180
76,-17.046688512071636,180
77,-11.05909654455878,180
78,-8.737649827000265,180
79,-10.55115053341732,180
80,-15.472645722472416,180
81,-13.61174484177133,180
82,-13.062764927583823,180
83,-15.99165007448745,180
84,-9.626177167779073,180
85,-13.807851672228463,180
86,-12.375397290583525,180
87,-11.255943397391363,180
88,-10.856152521335689,180
89,-17.89010106541553,180
90,-13.524644377581145,180
91,-15.771461134020724,180
92,-15.867860817288914,180
93,-19.291217456353074,180
94,-19.567086956512387,180
95,-14.784814869257277,180
96,-15.814836485623704,180
97,-13.102424590899977,180
98,-15.371863222346292,180
99,-10.757494222881085,180
100,-14.233571839793012,180
101,-16.178945346225262,180
102,-11.485844707772248,180
103,-14.322064948732267,180
104,-16.375028544962593,180
105,-17.654001918807964,180
106,-14.192643646134542,180
107,-14.367577597859167,180
108,-13.966628103847375,180
109,-17.01411888989765,180
110,-10.937263207772473,180
111,-12.645122801087464,180
112,-12.097720159430313,180
113,-10.72111490197473,180
114,-10.006920064850123,180
115,-10.378065341048377,180
116,-8.927425734515461,180
117,-10.496452127149611,180
118,-13.396639883432469,180
119,-8.437654725779732,180
120,-8.643226430512044,180
121,-13.880736822929125,180
122,-6.126329680005868,180
123,-12.907853246672868,180
124,-9.08954342958927,180
125,-7.653032090943278,180
126,-9.453325283177568,180
127,-14.27453770650853,180
128,-9.311593701229308,180
129,-15.75864068860073,180
130,-8.845601349192446,180
131,-13.634176727165746,180
132,-11.588849857007391,180
133,-10.987452370338376,180
134,-17.209667269971575,180
135,-10.112321557108057,180
136,-14.50068395166138,180
137,-14.19662347409882,180
138,-9.361334442512481,180
139,-10.55243515097459,180
140,-10.714606037534516,180
141,-8.970359160416965,180
142,-9.876434474380527,180
143,-13.474911719301183,180
144,-6.855552842712697,180
145,-8.16509644800879,180
146,-8.927194556494984,180
147,-11.639920983764117,180
148,-15.241760192365488,180
149,-13.625817504824024,180
150,-12.233775423928414,180
151,-11.01753312529375,180
152,-12.132262646196263,180
153,-7.365754513549584,180
154,-16.951957195804848,180
155,-10.49880594537349,180
156,-10.169806099470014,180
157,-9.502934495347606,180
158,-17.696282690728513,180
159,-13.692007959375395,180
160,-6.353247842989098,180
161,-7.996471514606945,180
162,-9.644633976297538,180
163,-16.11576611112166,180
164,-8.403402411309216,180
165,-9.691233526644407,180
166,-12.354936455599605,180
167,-12.539527010105077,180
168,-14.76497815667498,180
169,-6.145758344308912,180
170,-13.351815256193884,180
171,-7.920837837126127,180
172,-8.3667833071456,180
173,-13.012968758295205,180
174,-12.194173729616326,180
175,-11.37886027035822,180
176,-6.816832994436968,180
177,-22.856785736803612,180
178,-9.240667686871461,180
179,-10.127154077815735,180
180,-13.282418525779075,180
181,-6.9596347237469,180
182,-14.722039743208768,180
183,-11.068198267043117,180
184,-9.459808710156592,180
185,-7.837333139501195,180
186,-9.302043867434714,180
187,-7.035198589268021,180
188,-13.273875224788862,180
189,-8.928938847463842,180
190,-11.30719369820617,180
191,-12.106094135393306,180
192,-6.787597838468496,180
193,-14.10961436114986,180
194,-9.070065320761888,180
195,-10.632887644847159,180
196,-13.844784314777627,180
197,-15.444669591072586,180
198,-15.803685038055368,180
199,-8.766599616358501,180
200,-12.951440265229499,180
201,-11.368612020959361,180
202,-16.72499863193006,180
203,-15.685916815901752,180
204,-9.212100750781195,180
205,-17.052181175336692,180
206,-17.889794286177654,180
207,-12.598891110703454,180
208,-9.415266250104128,180
209,-11.771106766410643,180
210,-18.63099956564187,180
211,-11.323130440582734,180
212,-13.234430265500134,180
213,-16.665835280183945,180
214,-15.79041693218553,180
215,-15.409517717713747,180
216,-13.962663547733362,180
217,-12.652072271447224,180
218,-22.29428686498868,180
219,-16.1491884382664,180
220,-12.927138262861822,180
221,-17.19703752809087,180
222,-15.807485914230728,180
223,-16.736882940577413,180
224,-13.107536501027695,180
225,-11.620554398929453,180
226,-10.294656782017244,180
227,-14.615379272052216,180
228,-10.347347339424044,180
229,-15.46624771222804,180
230,-13.2921969843771,180
231,-12.273756965651698,180
232,-9.685508440695571,180
233,-9.029378094295993,180
234,-18.385304870977844,180
235,-16.775548102015428,180
236,-12.345680129138971,180
237,-8.751221087633455,180
238,-12.91237363534232,180
239,-10.596889122652396,180
240,-19.54561436217485,180
241,-10.296529631062267,180
242,-14.515536922124587,180
243,-14.674332026674596,180
244,-15.702512754258063,180
245,-12.405243162347858,180
246,-12.028991176296918,180
247,-15.274209589845192,180
248,-13.672914944438006,180
249,-11.512684804337106,180
250,-17.974888780323408,180
251,-14.241548464011457,180
252,-11.649697529451325,180
253,-14.595168625592619,180
254,-23.551782831302482,180
255,-12.055908917157213,180
256,-13.740617063124184,180
257,-15.883478435776931,180
258,-13.294303364193263,180
259,-14.937289576059724,180
260,-13.807549685186546,180
261,-22.00353991477457,180
262,-11.070795758164103,180
263,-13.038738753872881,180
264,-16.32383640646111,180
265,-14.53576269118016,180
266,-13.488142639828352,180
267,-14.156427989956837,180
268,-18.348247218749243,180
269,-19.095415069924027,180
270,-13.511645177514822,180
271,-15.180901150685616,180
272,-10.717542030777564,180
273,-20.532791375051318,180
274,-10.14492546707463,180
275,-19.333745255421775,180
276,-11.225917924664296,180
277,-18.76616729725013,180
278,-18.916441314268667,180
279,-10.027629867327299,180
280,-9.994739249812612,180
281,-10.769239041086678,180
282,-11.522322491592066,180
283,-13.45301085266791,180
284,-10.869044442104542,180
285,-13.613724816952521,180
286,-11.606211120324552,180
287,-13.499775498744457,180
288,-14.556562872527937,180
289,-11.845128301495476,180
290,-15.149521180849732,180
291,-11.421381396375073,180
292,-12.171596063207538,180
293,-10.115572846244234,180
294,-10.335935732721376,180
295,-15.287770934069956,180
296,-11.65687520647701,180
297,-8.841118095298677,180
298,-9.862848897261468,180
299,-12.73312012485499,180
300,-16.890225244410534,180
301,-15.410955020879527,180
302,-20.757979843478804,180
303,-16.089426396865107,180
304,-11.354429794087194,180
305,-13.560376161679633,180
306,-17.052179158596037,180
307,-16.802653950841087,180
308,-11.559591647179326,180
309,-16.468153852643287,180
310,-18.952282957050105,180
311,-12.754459957466128,180
312,-8.91768922248301,180
313,-17.88690068084575,180
314,-19.783673603935288,180
315,-26.431876244667972,180
316,-16.9001548726484,180
317,-13.680411626182874,180
318,-16.523807136434865,180
319,-20.21365525728324,180
320,-12.89702417558232,180
321,-15.359701801590726,180
322,-15.075919285140198,180
323,-8.828430748856958,180
324,-20.52626468631746,180
325,-9.055250228189236,180
326,-10.72867906726334,180
327,-9.028608761013247,180
328,-19.08889597932609,180
329,-22.14623725035723,180
330,-13.338653437627691,180
331,-23.657107875109997,180
332,-16.036829320640106,180
333,-12.016946905014407,180
334,-10.46473527486585,180
335,-9.344854955673709,180
336,-19.821959653622528,180
337,-10.889140825302228,180
338,-9.302850901166552,180
339,-14.370210782926733,180
340,-22.604551056977225,180
341,-15.92693210039684,180
342,-13.778015408197309,180
343,-13.50151112239053,180
344,-15.09511108395429,180
345,-10.854256731717609,180
346,-12.441266936423695,180
347,-12.02887174474389,180
348,-14.095992831785424,180
349,-12.545056686517007,180
350,-15.700808805818445,180
351,-12.528954338394758,180
352,-11.37730766573341,180
353,-12.1785624009269,180
354,-12.807034520707068,180
355,-11.266038369059553,180
356,-12.009689461615606,180
357,-8.697468863205582,180
358,-12.39114780514562,180
359,-11.61192594210575,180
360,-14.18665179146015,180
361,-12.253379085397093,180
362,-8.578596894830088,180
