episode,reward,length
1,-7.454795886571994,180
2,-12.153882274323754,180
3,-8.915511999860993,180
4,-8.309576895518406,180
5,-12.542603560150093,180
6,-7.787709008693154,180
7,-9.796003728662768,180
8,-8.083392565487738,180
9,-8.130252199539864,180
10,-7.414446278955297,180
11,-7.90348661378124,180
12,-10.640310282393356,180
13,-7.651919330389352,180
14,-13.969552394074595,180
15,-11.430900523582682,180
16,-9.178730652093511,180
17,-9.47953348127049,180
18,-7.779880168753017,180
19,-10.314021524574928,180
20,-7.2094992539803435,180
21,-8.740316983311654,180
22,-7.684821470376075,180
23,-7.816581686708501,180
24,-7.240229660767289,180
25,-7.005681599280881,180
26,-6.409151064999766,180
27,-7.56284381495429,180
28,-12.987537298540767,180
29,-13.22851391321764,180
30,-7.732098794030634,180
31,-7.421272705118683,180
32,-10.738385368617692,180
33,-9.023307173466623,180
34,-7.5902558779486275,180
35,-7.234892701273764,180
36,-7.018203116140408,180
37,-7.86123315388607,180
38,-8.494894615224515,180
39,-7.393055784335446,180
40,-8.076273116586458,180
41,-8.503123099943792,180
42,-7.918548159689743,180
43,-6.410726380475839,180
44,-13.441210754508852,180
45,-10.107390890048022,180
46,-7.952601998519861,180
47,-14.205967207968191,180
48,-6.424312669210546,180
49,-7.9289728241692625,180
50,-7.070282233387888,180
51,-6.333471341125995,180
52,-6.8515537157900175,180
53,-6.8551833495947525,180
54,-10.070952415749264,180
55,-6.775074605203202,180
56,-6.797448632832881,180
57,-6.8346705024343395,180
58,-6.11830180442025,180
59,-6.621881966817218,180
60,-7.226660624997162,180
61,-18.57784576196938,180
62,-8.535972925257184,180
63,-8.57494431607921,180
64,-8.120583331576972,180
65,-6.848579343345353,180
66,-7.120319163404874,180
67,-9.256673111101243,180
68,-7.070015881404973,180
69,-9.162171845068425,180
70,-6.492145401548102,180
71,-6.481951754886525,180
72,-7.792759254949838,180
73,-6.732025555888984,180
74,-7.987205623581865,180
75,-7.518743811797016,180
76,-7.090065817798421,180
77,-9.333754290229853,180
78,-9.893189162524928,180
79,-6.392651851871461,180
80,-6.354542377813668,180
81,-7.1467147898683105,180
82,-6.669950376574693,180
83,-9.357750929000925,180
84,-6.982303725964436,180
85,-6.80256925207108,180
86,-7.616404428780723,180
87,-7.646372775070053,180
88,-8.857631518778117,180
89,-6.253261135134354,180
90,-7.509706052920614,180
91,-10.422732059143941,180
92,-6.614491655520825,180
93,-7.619386696019773,180
94,-7.29015058950732,180
95,-6.710336394045556,180
96,-6.733484029855304,180
97,-8.33160506422606,180
98,-10.281377190697631,180
99,-6.54311045753193,180
100,-6.703336907112772,180
101,-7.218289064462193,180
102,-8.115722119158718,180
103,-6.529242831691379,180
104,-7.301357118694886,180
105,-6.7831379046051055,180
106,-6.334753203141916,180
107,-8.959626744076473,180
108,-6.724742989535328,180
109,-6.926918120823602,180
110,-7.842315106203715,180
111,-7.614167671645356,180
112,-6.1975387962795665,180
113,-6.84958390888868,180
114,-7.323478294293496,180
115,-6.868105629124961,180
116,-15.103927476088264,180
117,-7.049724122392537,180
118,-9.776531006061735,180
119,-6.876393691179495,180
120,-7.380614393582945,180
121,-7.589156632129675,180
122,-6.81624167641567,180
123,-7.309890639892772,180
124,-7.538761109421865,180
125,-5.8694587809054015,180
126,-6.691985955008493,180
127,-6.6540992873574805,180
128,-5.846327362407175,180
129,-7.950593785940637,180
130,-8.633266215545023,180
131,-6.815652274847894,180
132,-6.499341505271249,180
