episode,reward,length
1,-3.499008343792769,180
2,-3.9093854146208096,180
3,-2.1028364111823787,180
4,-3.0362356137908795,180
5,-2.26444642772548,180
6,-3.1261064709211155,180
7,-3.0823798583130477,180
8,-2.266802177405319,180
9,-2.412817033203409,180
10,-5.389424323567528,180
11,-4.56897194403256,180
12,-3.0313926479423503,180
13,-4.077113069367083,180
14,-2.8370058312440634,180
15,-2.551378522865043,180
16,-3.2901710469802734,180
17,-2.319569988946528,180
18,-2.119717605806385,180
19,-3.13410210145911,180
20,-2.642839458987219,180
21,-2.491336530226869,180
22,-2.9061055023902815,180
23,-4.190163125805515,180
24,-2.9478123728172214,180
25,-3.500252040255734,180
26,-2.97706815148494,180
27,-2.3516176924501644,180
28,-2.71041864529667,180
29,-3.405761542928141,180
30,-3.312908524257502,180
31,-1.9867106162722317,180
32,-2.53817969664871,180
33,-2.9712415754793904,180
34,-2.9585614384107535,180
35,-2.8202102477727977,180
36,-2.6309304426706808,180
37,-2.451206840145779,180
38,-2.6935932126391298,180
39,-2.757786233259658,180
40,-4.091378826981312,180
41,-3.5940068149034294,180
42,-2.54492974298945,180
43,-2.3863357658020163,180
44,-2.2582206593854184,180
45,-2.5754065606683456,180
46,-2.590508059237496,180
47,-2.1729916131531337,180
48,-2.9781758864438923,180
49,-3.108211756631227,180
50,-2.845982250265807,180
51,-2.2058848048099238,180
52,-2.592419260839419,180
53,-2.558779261437576,180
54,-2.3554430384968876,180
55,-1.8349877300988708,180
56,-2.2165661942955674,180
57,-2.4690632746812176,180
58,-3.1609471196354053,180
59,-4.403858052853203,180
60,-4.561666420000652,180
61,-2.869014307702222,180
62,-2.783204846552737,180
63,-2.9540280902422333,180
64,-2.900745227266715,180
65,-2.8017331559103926,180
66,-3.234612068128342,180
67,-2.4280181098238227,180
68,-3.172113531944065,180
69,-3.0669592944532793,180
70,-2.998951663856626,180
71,-2.4217513274654006,180
72,-2.2290746370055325,180
73,-3.659954594744452,180
74,-2.220177644204139,180
75,-2.2450094217143017,180
76,-2.460576522776458,180
77,-3.501302292276101,180
78,-2.3550546587314956,180
79,-3.279995373257607,180
80,-3.484083832662439,180
81,-5.214372709075778,180
82,-2.0782918928123197,180
83,-2.934135957788211,180
84,-1.9078772352576583,180
85,-2.1406973645875387,180
86,-3.0638445238981458,180
87,-2.491678406665687,180
88,-2.8201269388288246,180
89,-2.575099334175773,180
90,-2.1593241583992415,180
91,-2.567727768237932,180
92,-2.675828562210545,180
93,-2.516928605546022,180
94,-2.0215127668563326,180
95,-2.411738126701104,180
96,-2.086156825607584,180
97,-3.003032621109089,180
98,-2.662417982181867,180
99,-3.605110511028586,180
100,-2.2178559781677487,180
101,-2.5102344837566477,180
102,-2.7810599990936566,180
103,-2.54273491515259,180
104,-2.570469031503467,180
105,-2.121293919204126,180
106,-3.1039949531379203,180
107,-3.144460522260272,180
108,-2.4601091326943,180
109,-2.3235063142967882,180
110,-2.127196664551439,180
111,-2.404172260552065,180
112,-2.8955349483549715,180
113,-2.0304567578841946,180
114,-3.0833480473737738,180
115,-2.7748404739079002,180
116,-2.4134809929008423,180
117,-2.0223658738628036,180
118,-2.167700768014886,180
119,-2.124091436359725,180
120,-2.2933913314316166,180
121,-2.095165025028445,180
122,-2.3168612573300997,180
